pattern,n_pattern_occurence,n_pattern_positive_occurence,decision,alpha,value,coverage,precision
node:X:own:Voice=Pass,798,178,no,0.1,-0.2646307220181163,60.546875,77.69423558897243
node:X:next:Number=Sing,821,637,yes,0.006000000000000005,0.07853015386122578,25.13812154696133,77.58830694275274
node:X:child:rel_shallow=mark,728,564,yes,0.0030000000000000027,-0.05919945479652877,22.257300710339383,77.47252747252747
node:X:prev:PronType=Rel,110,85,yes,0.0030000000000000027,-0.13264927680337146,3.3543804262036305,77.27272727272727
node:X:child:rel_shallow=punct,1678,1292,yes,0.001,0.0075434355570870165,50.98658247829518,76.9964243146603
node:X:child:rel_shallow=obj,1306,989,yes,0.020000000000000004,-0.010281207716407614,39.02920284135754,75.72741194486983
node:X:child:rel_shallow=aux:pass,416,101,no,0.0030000000000000027,-0.022554248208951105,30.76171875,75.72115384615384
node:X:prev:Number=Sing,1171,884,yes,0.001,-0.12311982527662235,34.88555643251775,75.49103330486764
node:X:child:Polarity=Neg,254,191,yes,0.001,-0.1291000913765147,7.537490134175218,75.19685039370079
node:X:own:rel_shallow=conj,273,203,yes,0.001,-0.024619678994576996,8.011049723756907,74.35897435897436
node:X:prev:Tense=Pres,498,364,yes,0.007000000000000006,0.024986872915865155,14.3646408839779,73.09236947791165
node:X:child:Gender=Masc,1975,1435,yes,0.0050000000000000044,0.029414095544465085,56.62983425414365,72.65822784810126
node:X:next:Number=Plur,251,180,yes,0.001,0.13660035972424778,7.1033938437253346,71.71314741035857
node:X:own:Subject=Generic,254,182,yes,0.0040000000000000036,-0.10053901261567144,7.18232044198895,71.65354330708661
node:X:prev:Tense=Past,166,50,no,0.0020000000000000018,-0.11678175658230966,11.328125,69.87951807228916
node:X:own:rel_shallow=acl,636,271,no,0.008000000000000007,-0.014858723862700846,35.64453125,57.38993710691824
node:X:own:VerbForm=Part,1454,687,no,0.060000000000000005,-0.002766247688775203,74.90234375,52.75103163686382
node:X:own:Gender=Masc,852,419,no,0.0020000000000000018,-0.14780761098443684,42.28515625,50.82159624413145
node:X:child:NumType=Card,111,61,no,0.001,-0.0903679169160432,4.8828125,45.04504504504504
node:X:child:rel_shallow=expl:pass,23,13,no,0.0020000000000000018,-0.0333345575636681,0.9765625,43.47826086956522
node:X:parent:ExtPos=ADP,26,15,no,0.001,-0.9850486210993512,1.07421875,42.30769230769231
node:X:child:rel_shallow=obl:mod,990,589,no,0.01100000000000001,-0.005110262114102371,39.16015625,40.505050505050505
node:X:next:Definite=Def,322,198,no,0.015,-0.025647154468704025,12.109375,38.50931677018634
node:X:parent:Gender=Masc,816,507,no,0.0030000000000000027,-0.007878084892740223,30.17578125,37.86764705882353
node:X:parent:Number=Plur,719,456,no,0.001,0.14121998734436134,25.68359375,36.57858136300417
node:X:own:Number=Plur,769,507,no,0.0020000000000000018,0.09771368408081131,25.5859375,34.070221066319895
node:X:child:Tense=Pres,877,582,no,0.001,-0.08950010802466196,28.80859375,33.63740022805017
node:X:child:VerbForm=Fin,944,629,no,0.001,0.12007186985951138,30.76171875,33.36864406779661
node:X:child:rel_shallow=obl:arg,692,464,no,0.0020000000000000018,-0.03632854000638219,22.265625,32.947976878612714
node:X:child:Gender=Fem,1614,1096,no,0.01100000000000001,-0.018760616010237124,50.5859375,32.094175960346966
node:X:parent:Number=Sing,1301,900,no,0.0020000000000000018,0.01912935375735042,39.16015625,30.822444273635664
node:X:prev:Gender=Masc,582,404,no,0.0020000000000000018,-0.001539119238873024,17.3828125,30.584192439862544
node:X:child:rel_shallow=aux:tense,532,371,no,0.0030000000000000027,0.03657255047656785,15.72265625,30.263157894736842
node:X:parent:Tense=Past,331,231,no,0.001,-0.08963931490082537,9.765625,30.211480362537763
node:X:child:Number=Plur,1292,911,no,0.007000000000000006,-0.026271034243859154,37.20703125,29.489164086687307
node:X:parent:position=before,3449,2444,no,0.001,-0.029796551361754367,98.14453125,29.138880835024644
