lemma,form,gold_upos,pred_upos,purity,entropy,rival,distribution,in_train,train_freq,pos_err,log_freq
反対,反対,NOUN,NOUN,0.24852798262255882,0.808936684950708,PROPN,"PROPN: 0.75, NOUN: 0.25",True,16,0,2.833213344056216
や,や,ADP,ADP,0.9032409867642358,0.45863689737436647,PART,"ADP: 0.90, PART: 0.10",True,525,0,6.26530121273771
抗議,抗議,NOUN,NOUN,0.12823578976584693,0.5525799038695193,PROPN,"PROPN: 0.87, NOUN: 0.13",True,22,0,3.1354942159291497
の,の,ADP,ADP,0.9045274069531298,0.4544775110712305,PART,"ADP: 0.90, PART: 0.10",True,7749,0,8.955448122347393
声,声,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,20,0,3.044522437723423
を,を,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4658,0,8.446556111816797
上げる,挙げ,VERB,VERB,1.0,0.0,,VERB: 1.00,True,35,0,3.58351893845611
て,て,SCONJ,SCONJ,0.27906208378015457,1.569972645797504,PART,"PART: 0.40, AUX: 0.32, SCONJ: 0.28",True,4514,0,8.415160465851086
居る,いる,VERB,VERB,0.04122878863232381,1.049933790210585,SCONJ,"SCONJ: 0.70, AUX: 0.26",True,2059,0,7.630461261783627
住民,住民,NOUN,NOUN,0.4085704351715868,0.9757437207023668,PROPN,"PROPN: 0.59, NOUN: 0.41",True,22,0,3.1354942159291497
は,は,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4834,0,8.483636407887394
居る,い,VERB,VERB,0.04122878863232381,1.049933790210585,SCONJ,"SCONJ: 0.70, AUX: 0.26",True,2059,0,7.630461261783627
ない,ない,AUX,AUX,0.42390143579847034,1.5449297416043446,PART,"AUX: 0.42, PART: 0.34, SCONJ: 0.23",True,535,0,6.284134161070802
様,よう,AUX,AUX,0.5761231676645583,1.2353638580300368,PART,"AUX: 0.58, PART: 0.36, SCONJ: 0.06",True,212,0,5.3612921657094255
です,です,AUX,AUX,0.12054152972911368,1.7737794591165292,ADP,"ADP: 0.50, SCONJ: 0.19, PART: 0.19, AUX: 0.12",True,698,0,6.54965074223381
。,。,PUNCT,PUNCT,,,,,True,6853,0,8.832587702434553
幸福,幸福,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,42,0,3.7612001156935624
の,の,ADP,ADP,0.9045274069531298,0.4544775110712305,PART,"ADP: 0.90, PART: 0.10",True,7749,0,8.955448122347393
科学,科学,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,49,0,3.912023005428146
側,側,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,70,0,4.2626798770413155
から,から,ADP,ADP,1.0,0.0,,ADP: 1.00,True,851,0,6.747586526829315
は,は,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4834,0,8.483636407887394
",",",",PUNCT,PUNCT,,,,,True,1110,0,7.01301578963963
特に,特に,ADV,ADV,0.43220197320855913,1.1358792722695557,CCONJ,"CCONJ: 0.54, ADV: 0.43",True,39,0,3.6888794541139363
どう,どう,ADV,ADV,0.33674751273825804,1.3579592220196965,PRON,"PRON: 0.58, ADV: 0.34",True,43,0,3.784189633918261
為る,し,AUX,VERB,0.4782550981099619,1.481890763677283,PART,"AUX: 0.48, PART: 0.34, SCONJ: 0.18",True,4502,1,8.412499120301572
て,て,SCONJ,SCONJ,0.27906208378015457,1.569972645797504,PART,"PART: 0.40, AUX: 0.32, SCONJ: 0.28",True,4514,0,8.415160465851086
欲しい,ほしい,AUX,AUX,,,,,True,6,0,1.9459101490553132
と,と,ADP,ADP,1.0,0.0,,ADP: 1.00,True,3323,0,8.10892415597534
言う,いう,VERB,VERB,0.562111499782049,1.0451242940199876,SCONJ,"VERB: 0.56, SCONJ: 0.43",True,561,0,6.331501849893691
要望,要望,NOUN,NOUN,,,,,True,4,0,1.6094379124341003
は,は,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4834,0,8.483636407887394
頂く,いただい,VERB,VERB,1.0,0.0,,VERB: 1.00,True,12,0,2.5649493574615367
て,て,SCONJ,SCONJ,0.27906208378015457,1.569972645797504,PART,"PART: 0.40, AUX: 0.32, SCONJ: 0.28",True,4514,0,8.415160465851086
居る,い,VERB,VERB,0.04122878863232381,1.049933790210585,SCONJ,"SCONJ: 0.70, AUX: 0.26",True,2059,0,7.630461261783627
ます,ませ,AUX,AUX,0.5195157631386277,1.3954929655783166,PART,"AUX: 0.52, PART: 0.36, SCONJ: 0.12",True,1063,0,6.96979066990159
ず,ん,AUX,AUX,0.2878387195680149,1.5733584556220663,PART,"PART: 0.39, SCONJ: 0.32, AUX: 0.29",True,272,0,5.60947179518496
。,。,PUNCT,PUNCT,,,,,True,6853,0,8.832587702434553
星取り,星取り,NOUN,NOUN,,,,,False,0,0,0.0
参加,参加,NOUN,NOUN,0.5708124965777902,0.9854827123731099,ADJ,"NOUN: 0.57, ADJ: 0.43",True,32,0,3.4965075614664802
は,は,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4834,0,8.483636407887394
当然,当然,ADJ,ADV,,,,,True,2,1,1.0986122886681098
と,と,ADP,ADP,1.0,0.0,,ADP: 1.00,True,3323,0,8.10892415597534
為る,さ,VERB,VERB,1.0,0.0,,VERB: 1.00,True,556,0,6.322565239927284
れる,れ,AUX,AUX,0.5054381215180003,1.258694262430226,PART,"AUX: 0.51, PART: 0.44, SCONJ: 0.06",True,1578,0,7.364547014255642
",",",",PUNCT,PUNCT,,,,,True,1110,0,7.01301578963963
不,不,NOUN,NOUN,0.020403539276969442,1.6021643563230146,ADV,"ADV: 0.58, CCONJ: 0.26, NUM: 0.09, ADJ: 0.05",True,46,0,3.8501476017100584
参加,参加,NOUN,NOUN,0.5708124965777902,0.9854827123731099,ADJ,"NOUN: 0.57, ADJ: 0.43",True,32,0,3.4965075614664802
は,は,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4834,0,8.483636407887394
白眼,白眼,NOUN,NOUN,,,,,False,0,0,0.0
視,視,NOUN,NOUN,,,,,True,10,0,2.3978952727983707
為る,さ,AUX,AUX,0.4782550981099619,1.481890763677283,PART,"AUX: 0.48, PART: 0.34, SCONJ: 0.18",True,4502,0,8.412499120301572
れる,れる,AUX,AUX,0.5054381215180003,1.258694262430226,PART,"AUX: 0.51, PART: 0.44, SCONJ: 0.06",True,1578,0,7.364547014255642
。,。,PUNCT,PUNCT,,,,,True,6853,0,8.832587702434553
室長,室長,NOUN,NOUN,,,,,True,2,0,1.0986122886681098
の,の,ADP,ADP,0.9045274069531298,0.4544775110712305,PART,"ADP: 0.90, PART: 0.10",True,7749,0,8.955448122347393
対応,対応,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,36,0,3.6109179126442243
に,に,ADP,ADP,1.0,0.0,,ADP: 1.00,True,5614,0,8.633196867172543
は,は,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4834,0,8.483636407887394
終始,終始,ADV,ADV,,,,,True,1,0,0.6931471805599453
誠実,誠実,NOUN,NOUN,,,,,False,0,0,0.0
さ,さ,PART,PART,0.0,0.0,AUX,AUX: 1.00,True,66,0,4.204692619390966
が,が,ADP,ADP,1.0,0.0,,ADP: 1.00,True,3556,0,8.176672771948455
感ずる,感じ,VERB,VERB,1.0,0.0,,VERB: 1.00,True,36,0,3.6109179126442243
られる,られ,AUX,AUX,0.4745928774726321,1.4859059485649841,PART,"AUX: 0.47, PART: 0.34, SCONJ: 0.18",True,304,0,5.720311776607412
た,た,AUX,AUX,0.2916937633559493,1.5744111408725157,PART,"PART: 0.39, SCONJ: 0.32, AUX: 0.29",True,4624,0,8.439231649946526
。,。,PUNCT,PUNCT,,,,,True,6853,0,8.832587702434553
多く,多く,NOUN,NOUN,0.17492758764349103,1.4125694363407415,PRON,"PRON: 0.56, PROPN: 0.26, NOUN: 0.17",True,44,0,3.8066624897703196
の,の,ADP,ADP,0.9045274069531298,0.4544775110712305,PART,"ADP: 0.90, PART: 0.10",True,7749,0,8.955448122347393
女性,女性,NOUN,NOUN,0.4097620610876441,0.9763753603296668,PROPN,"PROPN: 0.59, NOUN: 0.41",True,70,0,4.2626798770413155
が,が,ADP,ADP,1.0,0.0,,ADP: 1.00,True,3556,0,8.176672771948455
生理,生理,NOUN,NOUN,,,,,False,0,0,0.0
の,の,ADP,ADP,0.9045274069531298,0.4544775110712305,PART,"ADP: 0.90, PART: 0.10",True,7749,0,8.955448122347393
事,こと,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,818,0,6.70808408385307
で,で,ADP,ADP,1.0,0.0,,ADP: 1.00,True,2274,0,7.729735331385051
悩む,悩ん,VERB,VERB,,,,,True,5,0,1.791759469228055
て,で,SCONJ,SCONJ,0.27906208378015457,1.569972645797504,PART,"PART: 0.40, AUX: 0.32, SCONJ: 0.28",True,4514,0,8.415160465851086
居る,い,VERB,VERB,0.04122878863232381,1.049933790210585,SCONJ,"SCONJ: 0.70, AUX: 0.26",True,2059,0,7.630461261783627
ます,ます,AUX,AUX,0.5195157631386277,1.3954929655783166,PART,"AUX: 0.52, PART: 0.36, SCONJ: 0.12",True,1063,0,6.96979066990159
。,。,PUNCT,PUNCT,,,,,True,6853,0,8.832587702434553
先生,先生,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,31,0,3.4657359027997265
の,の,ADP,ADP,0.9045274069531298,0.4544775110712305,PART,"ADP: 0.90, PART: 0.10",True,7749,0,8.955448122347393
理想,理想,NOUN,NOUN,,,,,True,2,0,1.0986122886681098
は,は,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4834,0,8.483636407887394
限り無い,限りなく,ADJ,ADV,,,,,False,0,1,0.0
高い,高い,ADJ,ADJ,0.9297419540442821,0.4365206003130443,VERB,ADJ: 0.93,True,64,0,4.174387269895637
。,。,PUNCT,PUNCT,,,,,True,6853,0,8.832587702434553
其れ,それ,PRON,PRON,0.9444283900722368,0.3635438341144347,ADV,PRON: 0.94,True,120,0,4.795790545596741
は,は,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4834,0,8.483636407887394
兎も角,兎も角,ADV,NOUN,,,,,True,1,1,0.6931471805599453
",",",",PUNCT,PUNCT,,,,,True,1110,0,7.01301578963963
私,私,PRON,PRON,0.9349288000211482,0.4111342242427718,ADV,PRON: 0.93,True,77,0,4.356708826689592
も,も,ADP,ADP,1.0,0.0,,ADP: 1.00,True,1558,0,7.351799869057777
明日,明日,NOUN,NOUN,,,,,True,1,0,0.6931471805599453
の,の,ADP,ADP,0.9045274069531298,0.4544775110712305,PART,"ADP: 0.90, PART: 0.10",True,7749,0,8.955448122347393
社説,社説,NOUN,NOUN,,,,,False,0,0,0.0
を,を,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4658,0,8.446556111816797
楽しみ,楽しみ,NOUN,NOUN,,,,,True,6,0,1.9459101490553132
に,に,ADP,ADP,1.0,0.0,,ADP: 1.00,True,5614,0,8.633196867172543
為る,し,VERB,VERB,1.0,0.0,,VERB: 1.00,True,556,0,6.322565239927284
て,て,SCONJ,SCONJ,0.27906208378015457,1.569972645797504,PART,"PART: 0.40, AUX: 0.32, SCONJ: 0.28",True,4514,0,8.415160465851086
居る,おり,VERB,VERB,0.04122878863232381,1.049933790210585,SCONJ,"SCONJ: 0.70, AUX: 0.26",True,2059,0,7.630461261783627
ます,ます,AUX,AUX,0.5195157631386277,1.3954929655783166,PART,"AUX: 0.52, PART: 0.36, SCONJ: 0.12",True,1063,0,6.96979066990159
。,。,PUNCT,PUNCT,,,,,True,6853,0,8.832587702434553
そう,そう,ADV,ADV,0.7127947514835309,0.8900968437037714,ADJ,"ADV: 0.71, ADJ: 0.28",True,26,0,3.295836866004329
だ,だっ,AUX,AUX,0.13576149999360715,0.9336833803340612,ADP,"ADP: 0.79, AUX: 0.14, SCONJ: 0.07",True,3424,0,8.138856750696325
た,たら,AUX,AUX,0.2916937633559493,1.5744111408725157,PART,"PART: 0.39, SCONJ: 0.32, AUX: 0.29",True,4624,0,8.439231649946526
良い,いい,ADJ,AUX,0.7652988625195974,0.7861168486765716,VERB,"ADJ: 0.77, VERB: 0.23",True,146,1,4.990432586778736
な,なあ,PART,PART,0.43452336818677356,1.488274705151295,SCONJ,"PART: 0.43, SCONJ: 0.39, AUX: 0.17",True,28,0,3.367295829986474
と,と,ADP,ADP,1.0,0.0,,ADP: 1.00,True,3323,0,8.10892415597534
は,は,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4834,0,8.483636407887394
思う,思い,VERB,VERB,0.8254527452292303,0.6680020013932606,ADJ,"VERB: 0.83, ADJ: 0.17",True,187,0,5.236441962829949
ます,ます,AUX,AUX,0.5195157631386277,1.3954929655783166,PART,"AUX: 0.52, PART: 0.36, SCONJ: 0.12",True,1063,0,6.96979066990159
が,が,SCONJ,SCONJ,0.30985097947927953,1.5342249506134624,PART,"PART: 0.45, SCONJ: 0.31, AUX: 0.24",True,657,0,6.489204931325317
",",",",PUNCT,PUNCT,,,,,True,1110,0,7.01301578963963
日本,日本,PROPN,PROPN,0.9213927994844999,0.3972524605845957,NOUN,"PROPN: 0.92, NOUN: 0.08",True,198,0,5.293304824724492
学術,学術,NOUN,NOUN,,,,,True,5,0,1.791759469228055
会議,会議,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,17,0,2.8903717578961645
の,の,ADP,ADP,0.9045274069531298,0.4544775110712305,PART,"ADP: 0.90, PART: 0.10",True,7749,0,8.955448122347393
会長,会長,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,17,0,2.8903717578961645
談話,談話,NOUN,NOUN,,,,,False,0,0,0.0
に,に,ADP,ADP,1.0,0.0,,ADP: 1.00,True,5614,0,8.633196867172543
つく,つい,VERB,VERB,0.23120997208251298,1.4540510625159513,SCONJ,"SCONJ: 0.54, VERB: 0.23, AUX: 0.23",True,132,0,4.890349128221754
て,て,SCONJ,SCONJ,0.27906208378015457,1.569972645797504,PART,"PART: 0.40, AUX: 0.32, SCONJ: 0.28",True,4514,0,8.415160465851086
“,“,PUNCT,PUNCT,,,,,True,263,0,5.575949103146316
当会,当会,NOUN,NOUN,,,,,True,1,0,0.6931471805599453
で,で,ADP,ADP,1.0,0.0,,ADP: 1.00,True,2274,0,7.729735331385051
は,は,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4834,0,8.483636407887394
",",",",PUNCT,PUNCT,,,,,True,1110,0,7.01301578963963
標記,標記,NOUN,NOUN,,,,,True,1,0,0.6931471805599453
の,の,ADP,ADP,0.9045274069531298,0.4544775110712305,PART,"ADP: 0.90, PART: 0.10",True,7749,0,8.955448122347393
件,件,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,26,0,3.295836866004329
に,に,ADP,ADP,1.0,0.0,,ADP: 1.00,True,5614,0,8.633196867172543
つく,つい,VERB,VERB,0.23120997208251298,1.4540510625159513,SCONJ,"SCONJ: 0.54, VERB: 0.23, AUX: 0.23",True,132,0,4.890349128221754
て,て,SCONJ,SCONJ,0.27906208378015457,1.569972645797504,PART,"PART: 0.40, AUX: 0.32, SCONJ: 0.28",True,4514,0,8.415160465851086
",",",",PUNCT,PUNCT,,,,,True,1110,0,7.01301578963963
以下,以下,NOUN,NOUN,0.41143722042013836,0.9772489828741867,PROPN,"PROPN: 0.59, NOUN: 0.41",True,48,0,3.8918202981106265
の,の,ADP,ADP,0.9045274069531298,0.4544775110712305,PART,"ADP: 0.90, PART: 0.10",True,7749,0,8.955448122347393
様,よう,NOUN,NOUN,0.11536891826920607,0.8625556123454917,ADJ,"ADJ: 0.82, NOUN: 0.12, VERB: 0.07",True,146,0,4.990432586778736
だ,に,AUX,AUX,0.13576149999360715,0.9336833803340612,ADP,"ADP: 0.79, AUX: 0.14, SCONJ: 0.07",True,3424,0,8.138856750696325
考える,考え,VERB,VERB,1.0,0.0,,VERB: 1.00,True,62,0,4.143134726391533
ます,ます,AUX,AUX,0.5195157631386277,1.3954929655783166,PART,"AUX: 0.52, PART: 0.36, SCONJ: 0.12",True,1063,0,6.96979066990159
。,。,PUNCT,PUNCT,,,,,True,6853,0,8.832587702434553
”,”,PUNCT,PUNCT,,,,,True,263,0,5.575949103146316
教団,教団,NOUN,NOUN,,,,,True,10,0,2.3978952727983707
に,に,ADP,ADP,1.0,0.0,,ADP: 1.00,True,5614,0,8.633196867172543
取る,とっ,VERB,VERB,1.0,0.0,,VERB: 1.00,True,88,0,4.48863636973214
て,て,SCONJ,SCONJ,0.27906208378015457,1.569972645797504,PART,"PART: 0.40, AUX: 0.32, SCONJ: 0.28",True,4514,0,8.415160465851086
は,は,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4834,0,8.483636407887394
存続,存続,NOUN,NOUN,,,,,True,2,0,1.0986122886681098
が,が,ADP,ADP,1.0,0.0,,ADP: 1.00,True,3556,0,8.176672771948455
厳しい,厳しく,ADJ,ADJ,0.05274190024917522,0.7835492872019305,DET,"DET: 0.87, ADJ: 0.05",True,16,0,2.833213344056216
成る,なる,VERB,VERB,1.0,0.0,,VERB: 1.00,True,811,0,6.699500340161678
と,と,ADP,ADP,1.0,0.0,,ADP: 1.00,True,3323,0,8.10892415597534
思う,思う,VERB,VERB,0.8254527452292303,0.6680020013932606,ADJ,"VERB: 0.83, ADJ: 0.17",True,187,0,5.236441962829949
。,。,PUNCT,PUNCT,,,,,True,6853,0,8.832587702434553
然し,しかし,CCONJ,CCONJ,0.7541656343476757,0.8149597421681043,ADV,"CCONJ: 0.75, ADV: 0.24",True,115,0,4.7535901911063645
強制,強制,VERB,VERB,,,,,False,0,0,0.0
為る,し,AUX,AUX,0.4782550981099619,1.481890763677283,PART,"AUX: 0.48, PART: 0.34, SCONJ: 0.18",True,4502,0,8.412499120301572
て,て,SCONJ,SCONJ,0.27906208378015457,1.569972645797504,PART,"PART: 0.40, AUX: 0.32, SCONJ: 0.28",True,4514,0,8.415160465851086
居る,い,VERB,VERB,0.04122878863232381,1.049933790210585,SCONJ,"SCONJ: 0.70, AUX: 0.26",True,2059,0,7.630461261783627
ない,なく,AUX,AUX,0.42390143579847034,1.5449297416043446,PART,"AUX: 0.42, PART: 0.34, SCONJ: 0.23",True,535,0,6.284134161070802
て,て,SCONJ,SCONJ,0.27906208378015457,1.569972645797504,PART,"PART: 0.40, AUX: 0.32, SCONJ: 0.28",True,4514,0,8.415160465851086
も,も,ADP,ADP,1.0,0.0,,ADP: 1.00,True,1558,0,7.351799869057777
問題,問題,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,82,0,4.418840607796598
です,です,AUX,AUX,0.12054152972911368,1.7737794591165292,ADP,"ADP: 0.50, SCONJ: 0.19, PART: 0.19, AUX: 0.12",True,698,0,6.54965074223381
民族,民族,NOUN,NOUN,,,,,True,9,0,2.302585092994046
派,派,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,28,0,3.367295829986474
の,の,ADP,ADP,0.9045274069531298,0.4544775110712305,PART,"ADP: 0.90, PART: 0.10",True,7749,0,8.955448122347393
皆,みな,NOUN,NOUN,0.03529522151176896,0.22028853521858843,PROPN,PROPN: 0.96,True,32,0,3.4965075614664802
さん,さん,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,148,0,5.003946305945459
に,に,ADP,ADP,1.0,0.0,,ADP: 1.00,True,5614,0,8.633196867172543
取る,とっ,VERB,VERB,1.0,0.0,,VERB: 1.00,True,88,0,4.48863636973214
て,て,SCONJ,SCONJ,0.27906208378015457,1.569972645797504,PART,"PART: 0.40, AUX: 0.32, SCONJ: 0.28",True,4514,0,8.415160465851086
陛下,陛下,NOUN,NOUN,,,,,True,1,0,0.6931471805599453
は,は,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4834,0,8.483636407887394
一番,いちばん,ADV,ADV,0.8751853176855522,0.6094336950752097,ADJ,"ADV: 0.88, ADJ: 0.11",True,28,0,3.367295829986474
大切,大切,ADJ,ADJ,,,,,True,7,0,2.0794415416798357
だ,な,AUX,AUX,0.13576149999360715,0.9336833803340612,ADP,"ADP: 0.79, AUX: 0.14, SCONJ: 0.07",True,3424,0,8.138856750696325
方,方,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,114,0,4.74493212836325
です,です,AUX,AUX,0.12054152972911368,1.7737794591165292,ADP,"ADP: 0.50, SCONJ: 0.19, PART: 0.19, AUX: 0.12",True,698,0,6.54965074223381
から,から,SCONJ,SCONJ,0.3100904372903047,1.5406825777223587,PART,"PART: 0.45, SCONJ: 0.31, AUX: 0.24",True,56,0,4.04305126783455
",",",",PUNCT,PUNCT,,,,,True,1110,0,7.01301578963963
其の,その,DET,DET,0.6838305421736699,1.207464914808758,NUM,"DET: 0.68, NUM: 0.22, PROPN: 0.09",True,425,0,6.054439346269371
霊言,霊言,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,15,0,2.772588722239781
に,に,ADP,ADP,1.0,0.0,,ADP: 1.00,True,5614,0,8.633196867172543
つく,つい,VERB,VERB,0.23120997208251298,1.4540510625159513,SCONJ,"SCONJ: 0.54, VERB: 0.23, AUX: 0.23",True,132,0,4.890349128221754
て,て,SCONJ,SCONJ,0.27906208378015457,1.569972645797504,PART,"PART: 0.40, AUX: 0.32, SCONJ: 0.28",True,4514,0,8.415160465851086
“,“,PUNCT,PUNCT,,,,,True,263,0,5.575949103146316
有る,あり,VERB,VERB,0.3095292225196191,1.5706748202623675,ADJ,"ADJ: 0.46, VERB: 0.31, AUX: 0.22",True,1424,0,7.261927092702751
得る,得,VERB,VERB,1.0,0.0,,VERB: 1.00,True,53,0,3.9889840465642745
ない,ない,AUX,AUX,0.42390143579847034,1.5449297416043446,PART,"AUX: 0.42, PART: 0.34, SCONJ: 0.23",True,535,0,6.284134161070802
”,”,PUNCT,PUNCT,,,,,True,263,0,5.575949103146316
と,と,ADP,ADP,1.0,0.0,,ADP: 1.00,True,3323,0,8.10892415597534
言う,いう,VERB,VERB,0.562111499782049,1.0451242940199876,SCONJ,"VERB: 0.56, SCONJ: 0.43",True,561,0,6.331501849893691
前提,前提,NOUN,NOUN,,,,,True,6,0,1.9459101490553132
で,で,ADP,ADP,1.0,0.0,,ADP: 1.00,True,2274,0,7.729735331385051
御,お,NOUN,NOUN,0.0888496520953362,1.83291280984955,NUM,"NUM: 0.39, ADJ: 0.32, PROPN: 0.20, NOUN: 0.09",True,365,0,5.902633333401366
話,話,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,46,0,3.8501476017100584
を,を,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4658,0,8.446556111816797
為る,さ,VERB,VERB,1.0,0.0,,VERB: 1.00,True,556,0,6.322565239927284
れる,れる,AUX,AUX,0.5054381215180003,1.258694262430226,PART,"AUX: 0.51, PART: 0.44, SCONJ: 0.06",True,1578,0,7.364547014255642
。,。,PUNCT,PUNCT,,,,,True,6853,0,8.832587702434553
新しい,新しい,ADJ,ADJ,0.0,1.064381740035803,DET,"DET: 0.74, NUM: 0.20",True,29,0,3.4011973816621555
産業,産業,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,20,0,3.044522437723423
構造,構造,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,22,0,3.1354942159291497
を,を,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4658,0,8.446556111816797
作る,作ら,VERB,VERB,1.0,0.0,,VERB: 1.00,True,50,0,3.9318256327243257
ない,なけれ,AUX,AUX,0.42390143579847034,1.5449297416043446,PART,"AUX: 0.42, PART: 0.34, SCONJ: 0.23",True,535,0,6.284134161070802
ば,ば,SCONJ,SCONJ,0.2924370962462951,1.5773995529963283,AUX,"AUX: 0.38, PART: 0.33, SCONJ: 0.29",True,123,0,4.820281565605037
行く,いけ,VERB,VERB,1.0,0.0,,VERB: 1.00,True,211,0,5.356586274672012
ない,ない,AUX,AUX,0.42390143579847034,1.5449297416043446,PART,"AUX: 0.42, PART: 0.34, SCONJ: 0.23",True,535,0,6.284134161070802
。,。,PUNCT,PUNCT,,,,,True,6853,0,8.832587702434553
心,心,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,37,0,3.6375861597263857
が,が,ADP,ADP,1.0,0.0,,ADP: 1.00,True,3556,0,8.176672771948455
無い,ない,ADJ,ADJ,0.6310002143331026,0.9499010044937358,VERB,"ADJ: 0.63, VERB: 0.37",True,264,0,5.579729825986222
の,ん,SCONJ,SCONJ,0.24980367819416166,1.5211548881987613,PART,"PART: 0.48, AUX: 0.27, SCONJ: 0.25",True,729,0,6.593044534142437
だ,だ,AUX,AUX,0.13576149999360715,0.9336833803340612,ADP,"ADP: 0.79, AUX: 0.14, SCONJ: 0.07",True,3424,0,8.138856750696325
。,。,PUNCT,PUNCT,,,,,True,6853,0,8.832587702434553
其の,その,DET,DET,0.6838305421736699,1.207464914808758,NUM,"DET: 0.68, NUM: 0.22, PROPN: 0.09",True,425,0,6.054439346269371
モサ,モサ,PROPN,PROPN,,,,,True,1,0,0.6931471805599453
は,は,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4834,0,8.483636407887394
今,今,ADV,ADV,0.6514216114817373,0.9327920237210142,CCONJ,"ADV: 0.65, CCONJ: 0.35",True,18,0,2.9444389791664403
何,何,PRON,PRON,0.9748914375545356,0.16923437939158106,NOUN,PRON: 0.97,True,54,0,4.007333185232471
を,を,ADP,ADP,1.0,0.0,,ADP: 1.00,True,4658,0,8.446556111816797
為る,し,VERB,VERB,1.0,0.0,,VERB: 1.00,True,556,0,6.322565239927284
て,て,SCONJ,SCONJ,0.27906208378015457,1.569972645797504,PART,"PART: 0.40, AUX: 0.32, SCONJ: 0.28",True,4514,0,8.415160465851086
居る,いる,VERB,VERB,0.04122878863232381,1.049933790210585,SCONJ,"SCONJ: 0.70, AUX: 0.26",True,2059,0,7.630461261783627
