lemma,form,gold_upos,pred_upos,purity,entropy,rival,distribution,in_train,train_freq,pos_err,log_freq
hiukan,hiukan,ADV,ADV,1.0,0.0,,ADV: 1.00,True,16,0,2.833213344056216
särkeä,särkee,VERB,VERB,,,,,True,1,0,0.6931471805599453
tukka,tukkaa,NOUN,NOUN,,,,,True,6,0,1.9459101490553132
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
eilinen,Eiliset,ADJ,ADJ,,,,,True,10,0,2.3978952727983707
tupaan#tuliaiset,tupaantuliaiset,NOUN,NOUN,,,,,False,0,0,0.0
olla,olivat,AUX,AUX,0.0,1.5697403538344468,CCONJ,"CCONJ: 0.66, SCONJ: 0.13, PRON: 0.10, PROPN: 0.05",True,6525,0,8.783549477153265
todella,todella,ADV,ADV,1.0,0.0,,ADV: 1.00,True,41,0,3.7376696182833684
mukava,mukavat,ADJ,ADJ,0.8959778412244683,0.5411786908205856,ADV,"ADJ: 0.90, ADV: 0.09",True,27,0,3.332204510175204
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
asunto,Asunto,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,42,0,3.7612001156935624
olla,oli,AUX,AUX,0.0,1.5697403538344468,CCONJ,"CCONJ: 0.66, SCONJ: 0.13, PRON: 0.10, PROPN: 0.05",True,6525,0,8.783549477153265
aistikas,aistikas,ADJ,ADJ,,,,,False,0,0,0.0
",",",",PUNCT,PUNCT,,,,,True,8704,0,9.07165285220229
viina,viinaa,NOUN,NOUN,,,,,True,3,0,1.3862943611198906
olla,oli,AUX,AUX,0.0,1.5697403538344468,CCONJ,"CCONJ: 0.66, SCONJ: 0.13, PRON: 0.10, PROPN: 0.05",True,6525,0,8.783549477153265
liikaa,liikaa,ADV,ADV,0.41591606516416424,1.6638708747402944,PRON,"ADV: 0.42, PRON: 0.40, NOUN: 0.13, ADJ: 0.05",True,15,0,2.772588722239781
",",",",PUNCT,PUNCT,,,,,True,8704,0,9.07165285220229
ja,ja,CCONJ,CCONJ,0.6915585843696935,1.4699791094392378,SCONJ,"CCONJ: 0.69, SCONJ: 0.12, PRON: 0.09, PROPN: 0.09",True,4710,0,8.45765547870004
pupu,pupun,NOUN,NOUN,,,,,True,10,0,2.3978952727983707
kanssa,kanssa,ADP,ADP,1.0,0.0,,ADP: 1.00,True,251,0,5.529429087511423
tutustua,tutustuimme,VERB,VERB,1.0,0.0,,VERB: 1.00,True,22,0,3.1354942159291497
moni,moniin,PRON,PRON,0.799348617342672,0.7232289488362313,ADJ,"PRON: 0.80, ADJ: 0.20",True,131,0,4.882801922586371
mukava,mukaviin,ADJ,ADJ,0.8959778412244683,0.5411786908205856,ADV,"ADJ: 0.90, ADV: 0.09",True,27,0,3.332204510175204
ihminen,ihmisiin,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,200,0,5.303304908059076
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
mieli,Mielestäni,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,157,0,5.062595033026967
juhla,juhlien,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,14,0,2.70805020110221
hauska,hauskin,ADJ,ADJ,0.916526965374723,0.41429995316799534,VERB,"ADJ: 0.92, VERB: 0.08",True,15,0,2.772588722239781
osuus,osuus,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,26,0,3.295836866004329
olla,on,AUX,AUX,0.0,1.5697403538344468,CCONJ,"CCONJ: 0.66, SCONJ: 0.13, PRON: 0.10, PROPN: 0.05",True,6525,0,8.783549477153265
aina,aina,ADV,ADV,1.0,0.0,,ADV: 1.00,True,109,0,4.700480365792417
uusi,uusien,ADJ,ADJ,0.5524174947532161,0.9920575342802966,PRON,"ADJ: 0.55, PRON: 0.45",True,319,0,5.768320995793772
ystävä,ystävien,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,44,0,3.8066624897703196
löytäminen,löytäminen,NOUN,NOUN,,,,,True,5,0,1.791759469228055
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
siksi,Siksi,ADV,ADV,0.2724686405381663,0.9760642445576153,PRON,"PRON: 0.71, ADV: 0.27",True,40,0,3.713572066704308
olla,olenkin,AUX,AUX,0.0,1.5697403538344468,CCONJ,"CCONJ: 0.66, SCONJ: 0.13, PRON: 0.10, PROPN: 0.05",True,6525,0,8.783549477153265
häät,häissä,NOUN,NOUN,,,,,True,10,0,2.3978952727983707
ja,ja,CCONJ,CCONJ,0.6915585843696935,1.4699791094392378,SCONJ,"CCONJ: 0.69, SCONJ: 0.12, PRON: 0.09, PROPN: 0.09",True,4710,0,8.45765547870004
hautajaiset,hautajaisissa,NOUN,NOUN,,,,,True,4,0,1.6094379124341003
kimpaantua,kimpaantunut,VERB,VERB,,,,,True,2,0,1.0986122886681098
",",",",PUNCT,PUNCT,,,,,True,8704,0,9.07165285220229
jos,jos,SCONJ,SCONJ,0.7433262363477349,1.147674798562011,CCONJ,"SCONJ: 0.74, CCONJ: 0.16, PRON: 0.07",True,349,0,5.857933154483459
minä,meidät,PRON,PRON,0.617914425240303,1.5040621801581067,ADV,"PRON: 0.62, ADV: 0.19, PROPN: 0.13, NOUN: 0.05",True,885,0,6.786716950605081
olla,on,AUX,AUX,0.0,1.5697403538344468,CCONJ,"CCONJ: 0.66, SCONJ: 0.13, PRON: 0.10, PROPN: 0.05",True,6525,0,8.783549477153265
plaseerata,plaseerattu,VERB,VERB,,,,,False,0,0,0.0
turvallisesti,turvallisesti,ADV,ADV,,,,,True,4,0,1.6094379124341003
tuttu,tuttujen,NOUN,NOUN,,,,,True,7,0,2.0794415416798357
pöytä,pöytään,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,37,0,3.6375861597263857
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
tupaan#tuliaiset,Tupaantuliaisista,NOUN,NOUN,,,,,False,0,0,0.0
pupu,pupu,NOUN,NOUN,,,,,True,10,0,2.3978952727983707
suostua,suostui,VERB,VERB,0.9118456861921743,0.4302789665962855,ADJ,"VERB: 0.91, ADJ: 0.09",True,14,0,2.70805020110221
kuin,kuin,CCONJ,SCONJ,0.7517483968129194,1.2277848898281978,SCONJ,"CCONJ: 0.75, SCONJ: 0.12, ADJ: 0.07",True,45,1,3.828641396489095
suostua,suostuikin,VERB,VERB,0.9118456861921743,0.4302789665962855,ADJ,"VERB: 0.91, ADJ: 0.09",True,14,0,2.70805020110221
lähteä,lähtemään,VERB,VERB,1.0,0.0,,VERB: 1.00,True,134,0,4.90527477843843
mukaan,mukaan,ADV,ADV,0.6367967035153774,1.1210836637118715,PRON,"ADV: 0.64, PRON: 0.33",True,41,0,3.7376696182833684
sekä,sekä,CCONJ,CCONJ,0.7592181641557838,1.212213724792085,SCONJ,"CCONJ: 0.76, SCONJ: 0.10, PRON: 0.08",True,351,0,5.863631175598097
Suxess,Suxessiin,PROPN,PROPN,,,,,True,1,0,0.6931471805599453
että,että,CCONJ,CCONJ,0.8520307220304011,0.8155156867885383,ADJ,"CCONJ: 0.85, ADJ: 0.08, PRON: 0.06",True,54,0,4.007333185232471
klubi,Klubille,NOUN,PROPN,,,,,True,1,1,0.6931471805599453
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
siellä,Siellä,ADV,ADV,0.2020150106569465,0.995073415673648,PRON,"PRON: 0.75, ADV: 0.20",True,74,0,4.31748811353631
huomata,huomasimme,VERB,VERB,1.0,0.0,,VERB: 1.00,True,78,0,4.3694478524670215
",",",",PUNCT,PUNCT,,,,,True,8704,0,9.07165285220229
kuinka,kuinka,ADV,ADV,0.04036036241109622,1.1407916373807503,SCONJ,"SCONJ: 0.74, CCONJ: 0.19",True,96,0,4.574710978503383
harvoin,harvoin,ADV,ADV,0.1986599479893989,0.7857582280762654,SCONJ,"SCONJ: 0.79, ADV: 0.20",True,20,0,3.044522437723423
minä,minä,PRON,PRON,0.617914425240303,1.5040621801581067,ADV,"PRON: 0.62, ADV: 0.19, PROPN: 0.13, NOUN: 0.05",True,885,0,6.786716950605081
käydä,käyn,VERB,VERB,1.0,0.0,,VERB: 1.00,True,137,0,4.927253685157205
yö#kerho,yökerhossa,NOUN,NOUN,,,,,True,1,0,0.6931471805599453
ja,ja,CCONJ,CCONJ,0.6915585843696935,1.4699791094392378,SCONJ,"CCONJ: 0.69, SCONJ: 0.12, PRON: 0.09, PROPN: 0.09",True,4710,0,8.45765547870004
kuinka,kuinka,ADV,ADV,0.04036036241109622,1.1407916373807503,SCONJ,"SCONJ: 0.74, CCONJ: 0.19",True,96,0,4.574710978503383
ei#koskaan,ei-koskaan,ADV,ADV,,,,,False,0,0,0.0
pupu,pupu,NOUN,NOUN,,,,,True,10,0,2.3978952727983707
olla,on,AUX,AUX,0.0,1.5697403538344468,CCONJ,"CCONJ: 0.66, SCONJ: 0.13, PRON: 0.10, PROPN: 0.05",True,6525,0,8.783549477153265
mukana,mukanani,ADV,ADV,0.2846285302976863,1.5299955126883042,PRON,"PRON: 0.46, ADV: 0.28, NOUN: 0.25",True,24,0,3.2188758248682006
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
kolme,Kolme,NUM,NUM,0.832206702601538,0.7984137076777961,PRON,"NUM: 0.83, PRON: 0.12",True,115,0,4.7535901911063645
vanha,vanhaa,ADJ,ADJ,0.7645457702088796,1.0194773771984893,NUM,"ADJ: 0.76, NUM: 0.13, PROPN: 0.10",True,93,0,4.543294782270004
tuttava,tuttavaani,NOUN,NOUN,,,,,False,0,0,0.0
tulla,tuli,VERB,VERB,1.0,0.0,,VERB: 1.00,True,474,0,6.163314804034641
rupatella,rupattelemaan,VERB,VERB,,,,,True,2,0,1.0986122886681098
ja,ja,CCONJ,CCONJ,0.6915585843696935,1.4699791094392378,SCONJ,"CCONJ: 0.69, SCONJ: 0.12, PRON: 0.09, PROPN: 0.09",True,4710,0,8.45765547870004
samalla,samalla,ADV,ADV,0.433929686377836,1.1370809467267917,SCONJ,"SCONJ: 0.54, ADV: 0.43",True,33,0,3.5263605246161616
kysellä,kyselemään,VERB,VERB,,,,,True,8,0,2.1972245773362196
",",",",PUNCT,PUNCT,,,,,True,8704,0,9.07165285220229
kuka,kuka,PRON,PRON,0.6720552024719741,1.2205253538848473,PROPN,"PRON: 0.67, PROPN: 0.26",True,44,0,3.8066624897703196
olla,on,AUX,AUX,0.0,1.5697403538344468,CCONJ,"CCONJ: 0.66, SCONJ: 0.13, PRON: 0.10, PROPN: 0.05",True,6525,0,8.783549477153265
mukana,mukanani,ADV,ADV,0.2846285302976863,1.5299955126883042,PRON,"PRON: 0.46, ADV: 0.28, NOUN: 0.25",True,24,0,3.2188758248682006
olla,oleva,VERB,VERB,1.0,0.0,,VERB: 1.00,True,522,0,6.259581464064923
uusi,uusi,ADJ,ADJ,0.5524174947532161,0.9920575342802966,PRON,"ADJ: 0.55, PRON: 0.45",True,319,0,5.768320995793772
komea,komea,ADJ,ADJ,,,,,True,3,0,1.3862943611198906
mies,mies,NOUN,NOUN,0.1787134418410482,0.6772544318453793,PRON,"PRON: 0.82, NOUN: 0.18",True,227,0,5.429345628954441
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
kiva,Kiva,ADJ,ADJ,0.7649035839653711,0.9862419578333194,ADV,"ADJ: 0.76, ADV: 0.19",True,31,0,3.4657359027997265
siinä,siinä,ADV,PRON,,,,,True,13,1,2.6390573296152584
olla,on,AUX,AUX,0.0,1.5697403538344468,CCONJ,"CCONJ: 0.66, SCONJ: 0.13, PRON: 0.10, PROPN: 0.05",True,6525,0,8.783549477153265
sitten,sitten,ADV,ADV,0.5221970004358093,0.9985778812641783,PRON,"ADV: 0.52, PRON: 0.48",True,187,0,5.236441962829949
selittää,selittää,VERB,VERB,1.0,0.0,,VERB: 1.00,True,19,0,2.995732273553991
tämä,tämän,PRON,PRON,0.6699904707801017,1.393791383094814,PROPN,"PRON: 0.67, PROPN: 0.15, ADJ: 0.14",True,1264,0,7.142827401161621
uusi,uuden,ADJ,ADJ,0.5524174947532161,0.9920575342802966,PRON,"ADJ: 0.55, PRON: 0.45",True,319,0,5.768320995793772
naama,naaman,NOUN,NOUN,,,,,True,8,0,2.1972245773362196
olla,olevan,AUX,AUX,0.0,1.5697403538344468,CCONJ,"CCONJ: 0.66, SCONJ: 0.13, PRON: 0.10, PROPN: 0.05",True,6525,0,8.783549477153265
mies,mieheni,NOUN,NOUN,0.1787134418410482,0.6772544318453793,PRON,"PRON: 0.82, NOUN: 0.18",True,227,0,5.429345628954441
ja,ja,CCONJ,CCONJ,0.6915585843696935,1.4699791094392378,SCONJ,"CCONJ: 0.69, SCONJ: 0.12, PRON: 0.09, PROPN: 0.09",True,4710,0,8.45765547870004
puoliso,puolisoni,NOUN,NOUN,0.34450969318081304,1.394323433692915,PRON,"PRON: 0.53, NOUN: 0.34, ADV: 0.13",True,21,0,3.091042453358316
jo,jo,ADV,ADV,0.4862782804804985,0.9994566544212136,CCONJ,"CCONJ: 0.51, ADV: 0.49",True,257,0,5.552959584921617
yhdeksäs,yhdeksättä,ADJ,ADJ,,,,,True,4,0,1.6094379124341003
vuosi,vuotta,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,720,0,6.580639137284949
...,...,PUNCT,PUNCT,,,,,True,81,0,4.406719247264253
ja,Ja,CCONJ,CCONJ,0.6915585843696935,1.4699791094392378,SCONJ,"CCONJ: 0.69, SCONJ: 0.12, PRON: 0.09, PROPN: 0.09",True,4710,0,8.45765547870004
vihdoin,vihdoin,ADV,ADV,1.0,0.0,,ADV: 1.00,True,16,0,2.833213344056216
ja,ja,CCONJ,CCONJ,0.6915585843696935,1.4699791094392378,SCONJ,"CCONJ: 0.69, SCONJ: 0.12, PRON: 0.09, PROPN: 0.09",True,4710,0,8.45765547870004
viimein,viimein,ADV,ADV,,,,,True,7,0,2.0794415416798357
tavata,tapasin,VERB,VERB,1.0,0.0,,VERB: 1.00,True,33,0,3.5263605246161616
Mopsi,Mopsin,PROPN,PROPN,,,,,False,0,0,0.0
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
osoittaa,Osoitin,VERB,VERB,1.0,0.0,,VERB: 1.00,True,53,0,3.9889840465642745
tyttö#nimi,tyttönimeni,NOUN,NOUN,,,,,True,1,0,0.6931471805599453
todella,todellakin,ADV,ADV,1.0,0.0,,ADV: 1.00,True,41,0,3.7376696182833684
olla,olevan,AUX,AUX,0.0,1.5697403538344468,CCONJ,"CCONJ: 0.66, SCONJ: 0.13, PRON: 0.10, PROPN: 0.05",True,6525,0,8.783549477153265
Marple,Marple,PROPN,PROPN,,,,,False,0,0,0.0
",",",",PUNCT,PUNCT,,,,,True,8704,0,9.07165285220229
kun,kun,SCONJ,SCONJ,0.7412913343034834,1.1290888029298842,CCONJ,"SCONJ: 0.74, CCONJ: 0.18",True,455,0,6.1224928095143865
yhdistellä,yhdistelin,VERB,VERB,,,,,False,0,0,0.0
pää,päässäni,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,59,0,4.0943445622221
ihminen,ihmisten,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,200,0,5.303304908059076
nimi,nimiä,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,87,0,4.477336814478207
",",",",PUNCT,PUNCT,,,,,True,8704,0,9.07165285220229
ammatti,ammatteja,NOUN,NOUN,,,,,True,8,0,2.1972245773362196
ja,ja,CCONJ,CCONJ,0.6915585843696935,1.4699791094392378,SCONJ,"CCONJ: 0.69, SCONJ: 0.12, PRON: 0.09, PROPN: 0.09",True,4710,0,8.45765547870004
harrastus,harrastuksia,NOUN,NOUN,,,,,True,3,0,1.3862943611198906
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
kun,Kun,SCONJ,SCONJ,0.7412913343034834,1.1290888029298842,CCONJ,"SCONJ: 0.74, CCONJ: 0.18",True,455,0,6.1224928095143865
vielä,vielä,ADV,ADV,1.0,0.0,,ADV: 1.00,True,229,0,5.438079308923196
viimeinen,viimeisenä,ADJ,ADJ,0.8559165560383674,0.5948338830050541,NUM,"ADJ: 0.86, NUM: 0.14",True,67,0,4.219507705176107
johto#lanka,johtolankana,NOUN,NOUN,,,,,False,0,0,0.0
olla,oli,AUX,AUX,0.0,1.5697403538344468,CCONJ,"CCONJ: 0.66, SCONJ: 0.13, PRON: 0.10, PROPN: 0.05",True,6525,0,8.783549477153265
Mopsi,Mopsin,PROPN,PROPN,,,,,False,0,0,0.0
netti,nettiin,NOUN,NOUN,,,,,True,8,0,2.1972245773362196
aiemmin,aiemmin,ADV,ADV,0.9833439353325905,0.12222922434377724,NOUN,ADV: 0.98,True,38,0,3.6635616461296463
postata,postaama,VERB,VERB,,,,,True,1,0,0.6931471805599453
kuva,kuva,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,47,0,3.871201010907891
puku#liivi,pukuliivistä,NOUN,NOUN,,,,,False,0,0,0.0
",",",",PUNCT,PUNCT,,,,,True,8704,0,9.07165285220229
saattaa,saatoin,AUX,VERB,0.94897450108926,0.3181507002902385,ADV,AUX: 0.95,True,73,1,4.30406509320417
lopulta,lopulta,ADV,ADV,0.4137955004881326,1.168400577560734,SCONJ,"SCONJ: 0.55, ADV: 0.41",True,56,0,4.04305126783455
mennä,mennä,VERB,VERB,1.0,0.0,,VERB: 1.00,True,151,0,5.0238805208462765
koputtaa,koputtamaan,VERB,VERB,,,,,True,2,0,1.0986122886681098
minä,minulle,PRON,PRON,0.617914425240303,1.5040621801581067,ADV,"PRON: 0.62, ADV: 0.19, PROPN: 0.13, NOUN: 0.05",True,885,0,6.786716950605081
tuntematon,tuntemattoman,ADJ,ADJ,0.43448303465589094,1.579777120935051,PRON,"ADJ: 0.43, PRON: 0.42, NUM: 0.09, ADV: 0.05",True,11,0,2.4849066497880004
nuori#mies,nuorenmiehen,NOUN,NOUN,,,,,False,0,0,0.0
olka#pää,olkapäätä,NOUN,NOUN,,,,,True,6,0,1.9459101490553132
ja,ja,CCONJ,CCONJ,0.6915585843696935,1.4699791094392378,SCONJ,"CCONJ: 0.69, SCONJ: 0.12, PRON: 0.09, PROPN: 0.09",True,4710,0,8.45765547870004
esittäytyä,esittäytymään,VERB,VERB,,,,,True,2,0,1.0986122886681098
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
Doctor,Doctor,PROPN,PROPN,,,,,True,1,0,0.6931471805599453
Livingstone,Livingstone,PROPN,PROPN,,,,,False,0,0,0.0
",",",",PUNCT,PUNCT,,,,,True,8704,0,9.07165285220229
I,I,PROPN,X,,,,,True,4,1,1.6094379124341003
presume,presume,PROPN,X,,,,,False,0,1,0.0
..,..,PUNCT,PUNCT,,,,,True,14,0,2.70805020110221
?,?,PUNCT,PUNCT,,,,,True,356,0,5.877735781779639
olla,On,AUX,AUX,0.0,1.5697403538344468,CCONJ,"CCONJ: 0.66, SCONJ: 0.13, PRON: 0.10, PROPN: 0.05",True,6525,0,8.783549477153265
aina,aina,ADV,ADV,1.0,0.0,,ADV: 1.00,True,109,0,4.700480365792417
hauska,hauska,ADJ,ADJ,0.916526965374723,0.41429995316799534,VERB,"ADJ: 0.92, VERB: 0.08",True,15,0,2.772588722239781
saada,saada,VERB,VERB,1.0,0.0,,VERB: 1.00,True,599,0,6.396929655216146
nimi,nimille,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,87,0,4.477336814478207
naama,naamat,NOUN,NOUN,,,,,True,8,0,2.1972245773362196
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
Mopsi,Mopsi,PROPN,NOUN,,,,,False,0,1,0.0
aika,aika,ADV,NOUN,0.88913480913687,0.50252013204548,ADJ,"ADV: 0.89, ADJ: 0.11",True,29,1,3.4011973816621555
hyvin,hyvin,ADV,ADV,1.0,0.0,,ADV: 1.00,True,178,0,5.187385805840755
vastata,vastasi,VERB,VERB,1.0,0.0,,VERB: 1.00,True,116,0,4.762173934797756
se,sitä,PRON,PRON,0.7651175648529579,1.1544352977758683,ADV,"PRON: 0.77, ADV: 0.09, NOUN: 0.08, PROPN: 0.06",True,2716,0,7.907283609426348
kuva,kuvaa,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,47,0,3.871201010907891
",",",",PUNCT,PUNCT,,,,,True,8704,0,9.07165285220229
mikä,minkä,PRON,PRON,0.1480032426500964,1.4249840937769436,SCONJ,"SCONJ: 0.64, CCONJ: 0.18, PRON: 0.15",True,449,0,6.1092475827643655
olla,olen,AUX,AUX,0.0,1.5697403538344468,CCONJ,"CCONJ: 0.66, SCONJ: 0.13, PRON: 0.10, PROPN: 0.05",True,6525,0,8.783549477153265
hän,hänestä,PRON,PRON,0.349947022434719,1.3085578204680004,PROPN,"PROPN: 0.58, PRON: 0.35",True,1168,0,7.063903961472068
mieli,mielessäni,NOUN,NOUN,1.0,0.0,,NOUN: 1.00,True,157,0,5.062595033026967
luoda,luonut,VERB,VERB,1.0,0.0,,VERB: 1.00,True,38,0,3.6635616461296463
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
ehkä,Ehkä,ADV,ADV,0.6965496256435467,0.8854678057846335,PRON,"ADV: 0.70, PRON: 0.30",True,91,0,4.5217885770490405
hiukan,hiukan,ADV,ADV,1.0,0.0,,ADV: 1.00,True,16,0,2.833213344056216
pitkä,pidempi,ADJ,ADJ,0.7215813132207718,0.8532872028947532,PRON,"ADJ: 0.72, PRON: 0.28",True,98,0,4.59511985013459
vain,vain,ADV,ADV,0.2393326730621511,1.7462986381671977,PRON,"PRON: 0.39, CCONJ: 0.33, ADV: 0.24",True,276,0,5.6240175061873385
.,.,PUNCT,PUNCT,,,,,True,10340,0,9.243871855184976
haluta,Haluan,VERB,VERB,1.0,0.0,,VERB: 1.00,True,235,0,5.4638318050256105
toivottaa,toivottaa,VERB,VERB,,,,,True,4,0,1.6094379124341003
hyvä,hyvää,ADJ,ADJ,1.0,0.0,,ADJ: 1.00,True,348,0,5.855071922202427
",",",",PUNCT,PUNCT,,,,,True,8704,0,9.07165285220229
rauhallinen,rauhallista,ADJ,ADJ,,,,,True,4,0,1.6094379124341003
ja,ja,CCONJ,CCONJ,0.6915585843696935,1.4699791094392378,SCONJ,"CCONJ: 0.69, SCONJ: 0.12, PRON: 0.09, PROPN: 0.09",True,4710,0,8.45765547870004
onnellinen,onnellista,ADJ,ADJ,0.8934518270801269,0.550934601400505,ADV,"ADJ: 0.89, ADV: 0.09",True,14,0,2.70805020110221
joulu,joulua,NOUN,NOUN,0.026412807912500474,1.5960558909193145,PRON,"PRON: 0.46, ADV: 0.36, PROPN: 0.15",True,24,0,3.2188758248682006
kaikki,kaikille,PRON,PRON,0.7706420654144075,1.10925426449785,ADJ,"PRON: 0.77, ADJ: 0.12, PROPN: 0.07",True,425,0,6.054439346269371
tuttu,tutuille,NOUN,ADJ,,,,,True,7,1,2.0794415416798357
