row_idx,lexunit,primary_cluster,clusters_above_threshold,entropy
155,"('Afrique', 'PROPN')",2,"[(2, 0.27727512450127945), (7, 0.2671754487538477), (8, 0.24237102745276)]",0.9574020784273832
158,"('Alex', 'PROPN')",4,"[(2, 0.2839516320910201), (4, 0.4076744520242908)]",1.0434753684405633
161,"('Algérie', 'PROPN')",8,"[(2, 0.23832299690214281), (7, 0.27716681508151986), (8, 0.28117994431281135)]",0.9595545429815041
162,"('Allemagne', 'PROPN')",2,"[(2, 0.5642004286459592), (7, 0.11783925661714277), (8, 0.13993746456199932)]",0.773798482370634
163,"('Amérique', 'PROPN')",2,"[(2, 0.31968323345678135), (7, 0.18559599338715618), (8, 0.2657874396855117)]",0.9369421390322299
168,"('Auckland', 'PROPN')",2,"[(2, 0.5837454949392472), (6, 0.11152859747973957)]",0.8062639412337986
171,"('B', 'PROPN')",9,"[(4, 0.1107234916430253), (9, 0.21512346879306973)]",0.8284211874454759
175,"('Berlin', 'PROPN')",2,"[(2, 0.6589533082241912), (6, 0.12871207350241792)]",0.7772284611857856
179,"('Bourgogne', 'PROPN')",2,"[(2, 0.5326164099955533), (6, 0.17301013357284686)]",0.9219594469900009
181,"('Bruxelles', 'PROPN')",2,"[(2, 0.5227346942225762), (6, 0.1393019023246346)]",0.8853354842674714
182,"('Brésil', 'PROPN')",7,"[(7, 0.6815277969879125), (8, 0.1316347770835547)]",0.7620736325696588
183,"('Bulgarie', 'PROPN')",2,"[(2, 0.5296810439775319), (8, 0.17777857469375588)]",0.9286107563277668
184,"('C', 'NOUN')",7,"[(2, 0.11372084840776145), (5, 0.11298435954842172), (7, 0.1281890193485924), (8, 0.10330703053430354), (9, 0.10424092434626148)]",0.7624596520052292
186,"('Californie', 'PROPN')",2,"[(2, 0.6725019162611631), (6, 0.13079578029798497)]",0.7687680601985276
187,"('Canada', 'PROPN')",7,"[(7, 0.650082518805145), (8, 0.14074474031780004)]",0.8020450207993525
190,"('Chine', 'PROPN')",8,"[(7, 0.10582569945385353), (8, 0.75854064608076)]",0.6453318341446143
192,"('Côte', 'PROPN')",8,"[(2, 0.1621502912332324), (4, 0.12570312701899136), (7, 0.17999212203199386), (8, 0.3000750081764553)]",0.8840412230695324
194,"('Danemark', 'PROPN')",7,"[(7, 0.6523912628920486), (8, 0.14198409494170047)]",0.801852818918541
198,"('Disney', 'PROPN')",4,"[(2, 0.1622607028017326), (4, 0.5415992290539648)]",0.9048636679379065
201,"('Espagne', 'PROPN')",2,"[(2, 0.6195810962690521), (7, 0.10863849065153101), (8, 0.10882399555451071)]",0.7091882643498169
202,"('Etats-Unis', 'PROPN')",7,"[(7, 0.32058606194837735), (8, 0.26269077365578447)]",1.032766691960056
212,"('Grand', 'PROPN')",7,"[(7, 0.509788750515977), (8, 0.18865540960386082)]",0.9494670831311004
213,"('Grande-Bretagne', 'PROPN')",8,"[(2, 0.26456764150979417), (7, 0.15817067746713717), (8, 0.32194617147673577)]",0.9178383329433865
214,"('Grèce', 'PROPN')",8,"[(7, 0.13031872336311648), (8, 0.6807892547354703)]",0.7607691917230466
220,"('I', 'NUM')",6,"[(2, 0.11934137433333174), (6, 0.26304100728510554)]",0.8727855829707037
221,"('II', 'NUM')",6,"[(2, 0.1200533250612039), (6, 0.2255049241942895)]",0.8517114355583982
222,"('III', 'NUM')",6,"[(2, 0.11199236066419971), (6, 0.32404959911843734)]",0.880542771489125
223,"('IV', 'NUM')",6,"[(2, 0.12445180505746707), (6, 0.23634856154359063)]",0.865988751805904
224,"('Inde', 'PROPN')",2,"[(2, 0.3832124444622903), (7, 0.18898149454336888), (8, 0.2204929336193274)]",0.9246105125062913
225,"('Internet', 'PROPN')",2,"[(2, 0.21137257717063068), (3, 0.10474986456278042), (4, 0.16105955654533266), (6, 0.16569316990997593)]",0.8344405934423826
226,"('Irak', 'PROPN')",8,"[(2, 0.11802122781310757), (7, 0.332612209035815), (8, 0.3384241968858897)]",0.896583923119756
227,"('Iran', 'PROPN')",7,"[(2, 0.2114338873081389), (7, 0.2750933269624007), (8, 0.2632068049067987)]",0.9420204931191303
231,"('Ivoire', 'PROPN')",2,"[(2, 0.4002368610638839), (6, 0.1535610161719264)]",0.9438357843020505
232,"('J.-C.', 'PROPN')",2,"[(2, 0.44170454168501655), (6, 0.17726591614983514)]",0.9631598395135755
235,"('Japon', 'PROPN')",7,"[(7, 0.6710182435947906), (8, 0.13922593403018135)]",0.7822502529405851
238,"('Jeanne', 'PROPN')",4,"[(2, 0.12070948217475165), (4, 0.5306389352758337)]",0.8533197060788564
243,"('Libye', 'PROPN')",2,"[(2, 0.4368038097009797), (7, 0.11309608284359267), (8, 0.27169344419794894)]",0.8759463433421278
245,"('Liège', 'PROPN')",2,"[(2, 0.5381084490586202), (6, 0.15530563257121538)]",0.8983636677138185
246,"('Loire', 'PROPN')",8,"[(7, 0.17094587921833554), (8, 0.5319390294369455)]",0.9200559308302331
248,"('Lord', 'PROPN')",4,"[(4, 0.3942093912437629), (5, 0.12588657306867607), (7, 0.18561982238506972)]",0.8560225473952877
250,"('Los', 'PROPN')",4,"[(2, 0.1475237530240489), (4, 0.5768752734221384)]",0.8651580842952329
253,"('M.', 'NOUN')",4,"[(4, 0.4890190964335836), (7, 0.10389541938772962)]",0.8440910885968707
254,"('Madrid', 'PROPN')",2,"[(2, 0.6709391050024919), (6, 0.12425043866042457)]",0.760120137868948
255,"('Mali', 'PROPN')",7,"[(7, 0.6125947803019353), (8, 0.15128114718830163)]",0.8452965787201342
256,"('Mans', 'PROPN')",7,"[(7, 0.5495330810909818), (8, 0.16774694545772362)]",0.9066996923605243
259,"('Maroc', 'PROPN')",7,"[(7, 0.7466706929462216), (8, 0.11467514694428375)]",0.6729770364086026
263,"('Mauritanie', 'PROPN')",8,"[(7, 0.17737600999105949), (8, 0.5815041269593887)]",0.8973907937826777
264,"('Mexique', 'PROPN')",7,"[(7, 0.7333511639328602), (8, 0.11778794041159477)]",0.691581355497329
267,"('Milan', 'PROPN')",7,"[(2, 0.17172775021133202), (4, 0.15551145444141323), (7, 0.3268233325308622), (8, 0.14252690174568658)]",0.8909670555491069
268,"('Montréal', 'PROPN')",2,"[(2, 0.7154510366485691), (6, 0.11560047312926343)]",0.7054554836120277
269,"('Moscou', 'PROPN')",2,"[(2, 0.6852716342019441), (6, 0.11793736233852029)]",0.7373537027203582
270,"('Méditerranée', 'PROPN')",2,"[(2, 0.437071178128063), (8, 0.17502102922173743)]",0.9619619893853943
271,"('Nantes', 'PROPN')",2,"[(2, 0.7383952533739099), (6, 0.10277145693815477)]",0.6604197526245146
272,"('Napoléon', 'PROPN')",2,"[(2, 0.21490435346901932), (3, 0.11308061169576675), (4, 0.21022735201858286), (6, 0.10043306371370131)]",0.8191553940956475
274,"('Nice', 'PROPN')",2,"[(2, 0.6746393025131704), (6, 0.11813751800391017)]",0.7471042484768732
276,"('Norvège', 'PROPN')",2,"[(2, 0.5947187619007899), (8, 0.1350968550246356)]",0.8360236520939057
277,"('Notre-Dame', 'PROPN')",4,"[(2, 0.15038839865235473), (4, 0.19829334152755612), (5, 0.10843105077250119), (7, 0.10215021403419079), (8, 0.11066614288820316)]",0.8222061786766792
278,"('Noël', 'PROPN')",2,"[(2, 0.4883439315953613), (4, 0.18751258015325742), (6, 0.10565732442945247)]",0.8204559413728578
279,"('ONU', 'PROPN')",7,"[(7, 0.3341338432969481), (8, 0.327037558974884)]",1.055772163345935
280,"('Occident', 'PROPN')",7,"[(2, 0.11454944441955779), (7, 0.43996784809344053), (8, 0.28530118695628814)]",0.8804422010278062
281,"('Orléans', 'PROPN')",2,"[(2, 0.6950827009715911), (6, 0.11523570930921793)]",0.7239690123251068
282,"('PS', 'PROPN')",7,"[(2, 0.1472732817032166), (7, 0.26680944962632885), (8, 0.15401446887258188)]",0.8399024997131701
286,"('Pays-Bas', 'PROPN')",7,"[(2, 0.11995549511279259), (7, 0.2719759126671662), (8, 0.2495740711791189)]",0.869200592069923
289,"('Pokémon', 'PROPN')",7,"[(5, 0.10041433945425117), (7, 0.46454773751700745), (8, 0.1447004879501897)]",0.7888869282208031
291,"('Portugal', 'PROPN')",7,"[(7, 0.7191185295644995), (8, 0.11917184307066397)]",0.7078082578269471
292,"('Québec', 'PROPN')",7,"[(2, 0.11861781459870832), (7, 0.557751003496943), (8, 0.1454763069487084)]",0.781854386435383
295,"('Renaissance', 'PROPN')",8,"[(7, 0.17151899170964643), (8, 0.6199769525083518)]",0.8638752864151165
296,"('Rennes', 'PROPN')",2,"[(2, 0.4396603483196014), (4, 0.12829948008909736), (6, 0.14914405291271396)]",0.8269872907598413
300,"('Roumanie', 'PROPN')",2,"[(2, 0.2653174552528762), (7, 0.15075567660889475), (8, 0.2538877654500852)]",0.896876966297685
301,"('Royal', 'PROPN')",8,"[(4, 0.11658406886411798), (7, 0.1873398931954066), (8, 0.41150109048638334)]",0.8462568385169488
302,"('Royaume-Uni', 'PROPN')",7,"[(7, 0.6383659569167964), (8, 0.1465768004096572)]",0.8194277924741311
303,"('Russie', 'PROPN')",8,"[(7, 0.10584122834311718), (8, 0.7734130632868584)]",0.6296240584532735
304,"('Sahara', 'PROPN')",7,"[(7, 0.5369662521465971), (8, 0.17227896622527536)]",0.9188136498290534
308,"('Serbie', 'PROPN')",2,"[(2, 0.33948289882539157), (7, 0.1308735178007216), (8, 0.23336742381705516)]",0.8851813503663922
309,"('Strasbourg', 'PROPN')",2,"[(2, 0.7574296812087887), (6, 0.1037841956654559)]",0.6427922156526249
310,"('Suisse', 'PROPN')",2,"[(2, 0.35877306659833286), (7, 0.12955498941886281), (8, 0.22467714647660794)]",0.8811063012920818
311,"('Suède', 'PROPN')",8,"[(2, 0.14654065451497028), (7, 0.18442676572339664), (8, 0.41309624693223396)]",0.8723789605109051
312,"('Texas', 'PROPN')",7,"[(2, 0.11319381193783193), (7, 0.4509942876443525), (8, 0.1641075966564959)]",0.8213250682656007
316,"('Tunis', 'PROPN')",2,"[(2, 0.6431060892803447), (6, 0.140995435488519)]",0.8080683683027523
317,"('Tunisie', 'PROPN')",8,"[(2, 0.20095046016467405), (7, 0.15905018193183162), (8, 0.40755232814067005)]",0.8926690817028493
318,"('Turquie', 'PROPN')",2,"[(2, 0.434729554187037), (7, 0.11146608367874405), (8, 0.2403491942683898)]",0.8641452224683147
319,"('UE', 'PROPN')",7,"[(7, 0.3788418508867883), (8, 0.34437519776911263)]",1.0601352622065279
320,"('UEFA', 'PROPN')",8,"[(2, 0.13212893139490214), (7, 0.24798909149848208), (8, 0.26787093274317647)]",0.8793526211261808
321,"('V', 'NUM')",6,"[(2, 0.12668639262267054), (5, 0.10169490575876348), (6, 0.1940574301943564), (7, 0.1088495284503836), (8, 0.10673620154628301)]",0.8031277799302797
322,"('VI', 'NUM')",6,"[(2, 0.11930028305968522), (6, 0.24202201191008038)]",0.8613016044476138
323,"('Vancouver', 'PROPN')",2,"[(2, 0.6673589495215515), (6, 0.11994484004868686)]",0.7563587635188262
324,"('Venezuela', 'PROPN')",7,"[(7, 0.4871814177060807), (8, 0.16225768976700203)]",0.9311415794209854
327,"('Washington', 'PROPN')",2,"[(2, 0.5418555156448139), (6, 0.11745112530798063)]",0.8419194713271585
329,"('Windows', 'PROPN')",4,"[(2, 0.1221085266667902), (4, 0.6135507678046234)]",0.8028455342552928
330,"('X', 'PROPN')",2,"[(2, 0.31754571425522204), (4, 0.1027618093307798), (6, 0.14564497753204922)]",0.799811471230436
333,"('XIV', 'NUM')",6,"[(2, 0.1204693721802556), (6, 0.1985066422464096)]",0.8308890646937633
336,"('XV', 'NUM')",6,"[(2, 0.29900760981743707), (6, 0.40313710181311485)]",1.0491699546685762
342,"('abandon', 'NOUN')",7,"[(7, 0.822372002426003), (8, 0.11024285329552794)]",0.5827308262903969
345,"('abbaye', 'NOUN')",8,"[(7, 0.1454938188037999), (8, 0.7611341759528402)]",0.7043313355197454
346,"('abbé', 'NOUN')",7,"[(7, 0.6676709693197744), (8, 0.16037550994252486)]",0.8125798897025928
347,"('abordable', 'ADJ')",5,"[(0, 0.10353888469921478), (5, 0.3142777726842569), (7, 0.14475247063986407)]",0.7995026146274139
350,"('abri', 'NOUN')",7,"[(7, 0.5554998782077185), (8, 0.24647656476231453)]",0.9691428813575916
352,"('absence', 'NOUN')",8,"[(7, 0.16671687852682307), (8, 0.7378601021609092)]",0.7544956920710767
363,"('accueil', 'NOUN')",7,"[(7, 0.8045188063174538), (8, 0.10535174525315662)]",0.5945065433694636
365,"('accusation', 'NOUN')",8,"[(7, 0.22226747300231176), (8, 0.5729464678001203)]",0.9426168403257319
367,"('accès', 'NOUN')",7,"[(7, 0.7425150401314781), (8, 0.11032468234307886)]",0.6697675564892602
369,"('achat', 'NOUN')",7,"[(7, 0.6493965780915019), (8, 0.13392491616270166)]",0.7929122898815401
372,"('acide', 'NOUN')",7,"[(7, 0.5276702039063693), (8, 0.16131152474158353)]",0.9112503920750208
375,"('acteur', 'NOUN')",7,"[(7, 0.785955349317199), (8, 0.10362747581361703)]",0.6120202370574472
376,"('actif', 'ADJ')",9,"[(0, 0.13266677267068203), (5, 0.20440955678667977), (7, 0.10822807930170604), (9, 0.25883709019226026)]",0.8533410416398215
379,"('actrice', 'NOUN')",8,"[(5, 0.14102314508460148), (7, 0.18532167799748633), (8, 0.47558081582602835)]",0.85752793047511
380,"('actualité', 'NOUN')",8,"[(7, 0.18401625651022052), (8, 0.6623552138247333)]",0.8430380733435925
381,"('actuel', 'ADJ')",9,"[(0, 0.22119701720165208), (9, 0.6709475721572061)]",0.8677399206121701
383,"('adaptation', 'NOUN')",8,"[(7, 0.10931288986104552), (8, 0.8130330432267827)]",0.5918699768794331
386,"('administrateur', 'NOUN')",7,"[(5, 0.26106416835242985), (7, 0.42574171484187906), (8, 0.1308852421973551)]",0.8923104827126287
393,"('adulte', 'NOUN')",7,"[(7, 0.630980309496044), (8, 0.15922598006246833)]",0.8412656736635866
394,"('adversaire', 'NOUN')",7,"[(7, 0.7046937604528184), (8, 0.14627776049228342)]",0.7614822538485306
399,"('affluent', 'NOUN')",7,"[(5, 0.15693357423589402), (7, 0.49733633280352174), (8, 0.17535064524963048)]",0.8586232405803658
400,"('affrontement', 'NOUN')",7,"[(7, 0.6851047949984569), (8, 0.13827415891323544)]",0.7684847931787533
402,"('afin', 'ADV')",3,"[(3, 0.24102118962448196), (5, 0.1501535337278957), (7, 0.10605288191041297), (8, 0.10354166479260353)]",0.7937857606517518
409,"('agriculture', 'NOUN')",8,"[(7, 0.19780598670408014), (8, 0.6116018114417279)]",0.8962699692592271
410,"('agréable', 'ADJ')",5,"[(0, 0.14312181791154116), (5, 0.27289461707534485), (7, 0.12459386689398236), (8, 0.10652012932191943)]",0.8156072971034841
411,"('aide', 'NOUN')",8,"[(7, 0.11418341908550936), (8, 0.829189324790962)]",0.5815287210386234
414,"('ailleurs', 'ADV')",3,"[(3, 0.4452107058599837), (5, 0.1126827698128331)]",0.8746692455749522
421,"('alcool', 'NOUN')",2,"[(2, 0.34736420851337646), (7, 0.25932672852977273), (8, 0.12324532555524427)]",0.8877789142843687
422,"('alentours', 'NOUN')",7,"[(7, 0.4995371771514769), (8, 0.20201886754658094)]",0.9663506030881118
430,"('altitude', 'NOUN')",8,"[(2, 0.11856374776871623), (7, 0.11727395544809352), (8, 0.613909589186605)]",0.7315517201505743
431,"('ambiance', 'NOUN')",8,"[(7, 0.11064368024338368), (8, 0.8018227033775327)]",0.6069017648467493
432,"('ambition', 'NOUN')",8,"[(7, 0.16993894421226544), (8, 0.6625688566215945)]",0.8279904745072258
434,"('ami', 'NOUN')",7,"[(7, 0.5874698282046636), (8, 0.15095571883448244)]",0.8626095956155475
435,"('amie', 'NOUN')",8,"[(7, 0.18020899310966504), (8, 0.5329248355680117)]",0.929416593666086
437,"('amphibien', 'NOUN')",2,"[(2, 0.4135939251731397), (6, 0.12839140485149864), (7, 0.12670154544396373)]",0.810523190754504
438,"('amélioration', 'NOUN')",8,"[(7, 0.1361072257240248), (8, 0.7577106834399661)]",0.6949027855781451
442,"('américain', 'NOUN')",7,"[(7, 0.563771172469478), (8, 0.1877259706708882)]",0.919175425942551
443,"('an', 'NOUN')",7,"[(2, 0.13441417260673993), (5, 0.10680863745931309), (6, 0.13289066223491722), (7, 0.22213824746692218), (8, 0.11919539142771204)]",0.8478583103182109
446,"('ancêtre', 'NOUN')",7,"[(7, 0.6348578892878683), (8, 0.15096061291988977)]",0.8279295009568421
448,"('anglais', 'NOUN')",7,"[(2, 0.3021028346833828), (7, 0.3570065009773679), (8, 0.11197854603258788)]",0.8870297343987175
450,"('animation', 'NOUN')",8,"[(2, 0.10791452131600986), (7, 0.11187177263952498), (8, 0.6346501820749575)]",0.704407134829548
456,"('année', 'NOUN')",8,"[(7, 0.1137154231962273), (8, 0.8037821116423641)]",0.6099591749273395
457,"('antique', 'ADJ')",9,"[(0, 0.2470217049699832), (9, 0.611972480629242)]",0.9318733140863944
458,"('antérieur', 'ADJ')",9,"[(0, 0.11556079486715752), (9, 0.4478024966852899)]",0.8788050914645695
459,"('août', 'NOUN')",7,"[(2, 0.13076070819422556), (5, 0.10575582416697164), (7, 0.16069731988706784), (8, 0.10966369095784693)]",0.750054983304327
463,"('apparence', 'NOUN')",8,"[(7, 0.14391690656198672), (8, 0.6696797602519664)]",0.7898720265705552
464,"('apparition', 'NOUN')",8,"[(7, 0.16188686074900152), (8, 0.6539606742791962)]",0.8259649650358333
466,"('appel', 'NOUN')",7,"[(5, 0.13675592021721192), (7, 0.5267301000957514), (8, 0.13602066747385058)]",0.8020184084484808
473,"('apprentissage', 'NOUN')",7,"[(7, 0.59320047238782), (8, 0.17837412742038355)]",0.890542517713794
476,"('approvisionnement', 'NOUN')",7,"[(7, 0.8154520280315327), (8, 0.1023258849733453)]",0.5765354011494603
478,"('appui', 'NOUN')",7,"[(7, 0.7169370178921262), (8, 0.15621941359002628)]",0.7625992942825027
480,"('après', 'ADP')",1,"[(1, 0.4969541559802391), (3, 0.1155556771235801)]",0.8610990753139453
482,"('après-midi', 'NOUN')",7,"[(2, 0.1278801871035602), (7, 0.44911594456428233), (8, 0.1519333180470987)]",0.8272272216073698
484,"('arabe', 'NOUN')",7,"[(2, 0.13859668437108635), (7, 0.49613542954310985), (8, 0.1550602018375688)]",0.8289190463130018
489,"('archive', 'NOUN')",8,"[(7, 0.20684297847459565), (8, 0.5592485778338857)]",0.9391306850806928
490,"('argent', 'NOUN')",7,"[(2, 0.251778230149212), (7, 0.38361253123956135), (8, 0.13073602970133155)]",0.8927573282381709
491,"('arme', 'NOUN')",8,"[(7, 0.11652074524774121), (8, 0.7480441477062516)]",0.6746549834019041
492,"('armer', 'VERB')",5,"[(5, 0.30070570075619135), (7, 0.13922393908419115)]",0.917321538675522
496,"('arrivée', 'NOUN')",8,"[(7, 0.15331780380328464), (8, 0.7752565709063569)]",0.6995026919158773
497,"('arrière', 'NOUN')",7,"[(7, 0.7212716701694993), (8, 0.14159372170246554)]",0.7393153673387758
498,"('arrondissement', 'NOUN')",7,"[(7, 0.6805051941179078), (8, 0.16345039755528992)]",0.8050076336350915
501,"('arrêté', 'NOUN')",7,"[(7, 0.49943979071784167), (8, 0.1618496388964091)]",0.9254708887230981
502,"('art', 'NOUN')",7,"[(7, 0.7550039911241283), (8, 0.11070321616481348)]",0.657619984510207
505,"('artillerie', 'NOUN')",8,"[(7, 0.12530042305720424), (8, 0.7190226787725065)]",0.7176436215966826
510,"('assemblée', 'NOUN')",8,"[(7, 0.10179272904800804), (8, 0.819866033212488)]",0.5704630532639797
511,"('assez', 'ADV')",3,"[(1, 0.12335852938160383), (3, 0.45872168081335757)]",0.8881730259768937
512,"('assistance', 'NOUN')",8,"[(7, 0.10419237438690152), (8, 0.7753326239503718)]",0.6245806809717338
526,"('attente', 'NOUN')",8,"[(2, 0.12984668824964407), (7, 0.1417107621874009), (8, 0.5647738319343877)]",0.7870287984475912
527,"('attention', 'NOUN')",8,"[(7, 0.17023366851648225), (8, 0.634270497529695)]",0.8514546739048487
532,"('attribut', 'NOUN')",7,"[(7, 0.6970550174252717), (8, 0.14002593455077925)]",0.7600718954871066
533,"('au-delà', 'ADV')",3,"[(3, 0.28069478635872025), (5, 0.19219588769945975), (8, 0.10060590970150603)]",0.8234408958933341
534,"('au-dessus', 'ADV')",3,"[(3, 0.2586697105214174), (5, 0.21881591184548946), (7, 0.10986218300701459), (8, 0.1005232434913837)]",0.8337642298986354
535,"('aucun', 'DET')",0,"[(0, 0.2536081913067587), (1, 0.21405451026992606), (3, 0.10218717926076958)]",0.8292238746354387
536,"('aucun', 'PRON')",7,"[(3, 0.1649828907246303), (5, 0.155430234374365), (7, 0.1934554884369981), (8, 0.13994286293299485)]",0.8509150777446668
538,"('augmentation', 'NOUN')",8,"[(7, 0.1346936339836594), (8, 0.7625974545160551)]",0.6877476514621584
