row_idx,lexunit,primary_cluster,clusters_above_threshold
289,"('faux', 'ADJ')",6,"[(6, 0.36773882156305354), (7, 0.10314867363656018)]"
290,"('façon', 'NOUN')",4,"[(4, 0.298426736615889), (8, 0.10914129708137846), (9, 0.11697617028904823)]"
291,"('femme', 'NOUN')",4,"[(4, 0.7737672751249368), (9, 0.1093791225404511)]"
292,"('fiche', 'NOUN')",4,"[(4, 0.3754600725355814), (9, 0.21743643285768927)]"
294,"('fille', 'NOUN')",4,"[(4, 0.6805018172390307), (9, 0.12486899587826376)]"
295,"('fin', 'NOUN')",4,"[(4, 0.7292949639722652), (9, 0.11527219319377738)]"
300,"('fois', 'NOUN')",4,"[(4, 0.5698274238406043), (9, 0.135569477392043)]"
302,"('fonds', 'NOUN')",9,"[(4, 0.13216547633530373), (9, 0.5978761824633889)]"
303,"('formation', 'NOUN')",4,"[(4, 0.8164502763905347), (9, 0.10098144656972563)]"
305,"('fournir', 'VERB')",1,"[(1, 0.6985091438542662), (5, 0.1784606148595307)]"
307,"('franc', 'NOUN')",8,"[(8, 0.4047266494657067), (9, 0.10931733637973268)]"
309,"('frégate', 'NOUN')",4,"[(4, 0.3704836623722852), (9, 0.2756432770308577)]"
310,"('fréquent', 'ADJ')",5,"[(1, 0.18908589247785398), (5, 0.3428588068321136)]"
314,"('grave', 'ADJ')",5,"[(1, 0.10667797923474157), (3, 0.19170834572366283), (5, 0.2554283058597257)]"
318,"('général', 'NOUN')",9,"[(4, 0.12356598156491985), (9, 0.6102506627266856)]"
319,"('h', 'NOUN')",10,"[(4, 0.1206000183454311), (8, 0.17331844246430492), (10, 0.2843177340347628)]"
320,"('hanche', 'NOUN')",8,"[(4, 0.26778974983448867), (8, 0.3667269479552399)]"
321,"('heure', 'NOUN')",4,"[(4, 0.28129975532073037), (5, 0.10969241878760772), (9, 0.1292510292382857), (10, 0.15261000385844467)]"
322,"('histoire', 'NOUN')",4,"[(4, 0.5558506032526908), (5, 0.10826130036448903), (9, 0.12948596613427021)]"
325,"('hypersensibilité', 'NOUN')",4,"[(4, 0.37473396718468815), (5, 0.15453891144660134), (9, 0.10647638982204569)]"
326,"('hypocalcémie', 'NOUN')",4,"[(4, 0.6366410044886469), (9, 0.13020607033054665)]"
327,"('hémorragie', 'NOUN')",5,"[(1, 0.11889994815598871), (4, 0.215847267111602), (5, 0.21637049740347522)]"
328,"('héparine', 'NOUN')",4,"[(4, 0.6181725789758837), (9, 0.15483514556701813)]"
330,"('immunité', 'NOUN')",4,"[(4, 0.63790904862245), (9, 0.17224039613398193)]"
331,"('immédiatement', 'ADV')",0,"[(0, 0.3982303957517192), (2, 0.10211599861874529)]"
332,"('impliquer', 'VERB')",5,"[(1, 0.3066548722678338), (5, 0.5901623010991872)]"
333,"('important', 'ADJ')",5,"[(1, 0.23412699479406834), (5, 0.39948294057104083)]"
334,"('incidence', 'NOUN')",4,"[(4, 0.5455388704556485), (9, 0.21558516988840673)]"
335,"('inclure', 'VERB')",5,"[(1, 0.29956428448172595), (5, 0.40215561886032986)]"
336,"('indiquer', 'VERB')",1,"[(1, 0.7316169280647082), (5, 0.14841684047670814)]"
337,"('industrie', 'NOUN')",4,"[(4, 0.7890615378186917), (9, 0.12379028399751729)]"
340,"('informer', 'VERB')",1,"[(1, 0.6560108656124904), (5, 0.14506401449550804)]"
341,"('inférieur', 'ADJ')",5,"[(1, 0.21938803558847184), (5, 0.4327350558576268)]"
342,"('inhibiteur', 'NOUN')",9,"[(4, 0.16754496497643404), (9, 0.5684965792232819)]"
344,"('inscrire', 'VERB')",1,"[(1, 0.7062150296201307), (5, 0.1528422179333665)]"
346,"('insuffisance', 'NOUN')",4,"[(1, 0.10009244843664566), (4, 0.24564402338015853), (5, 0.11383720989471206), (9, 0.10889906370494748)]"
347,"('intermédiaire', 'NOUN')",9,"[(4, 0.23071385446063727), (9, 0.5719358152356945)]"
356,"('jour', 'NOUN')",9,"[(4, 0.11260233823714881), (9, 0.5803549859846838)]"
358,"('juge', 'NOUN')",9,"[(4, 0.11082125803368423), (9, 0.7274517025729261)]"
362,"('justice', 'NOUN')",4,"[(4, 0.7603265146298055), (9, 0.10029313586854317)]"
364,"('lancer', 'VERB')",1,"[(1, 0.7608825917823652), (5, 0.14125167813637116)]"
367,"('lier', 'VERB')",5,"[(1, 0.28653785658338393), (5, 0.6000750793096149)]"
368,"('lieu', 'NOUN')",9,"[(1, 0.11174418524775133), (4, 0.11975655051044319), (5, 0.10426227229390868), (9, 0.4123063314393666)]"
370,"('livre', 'NOUN')",9,"[(4, 0.15674377044545285), (9, 0.6827553223934038)]"
373,"('lors', 'ADV')",5,"[(0, 0.13801206713330075), (1, 0.16107026611276926), (5, 0.1977339734527202)]"
374,"('lorsque', 'SCONJ')",2,"[(0, 0.12048196012269938), (2, 0.4540466528572776)]"
376,"('là', 'ADV')",0,"[(0, 0.44380336723369757), (2, 0.1166407858514585)]"
379,"('maintenir', 'VERB')",1,"[(1, 0.506353669144469), (5, 0.25615820163926906)]"
381,"('mairie', 'NOUN')",4,"[(4, 0.5410791775035297), (9, 0.1997778632504918)]"
382,"('mais', 'CCONJ')",2,"[(0, 0.11055604984999465), (2, 0.3957074038468928), (12, 0.10500640467070435)]"
384,"('majorité', 'NOUN')",4,"[(4, 0.7757813691273757), (9, 0.11550592322718978)]"
386,"('manière', 'NOUN')",4,"[(4, 0.6359043707492261), (9, 0.11063206338906861)]"
389,"('matière', 'NOUN')",4,"[(4, 0.2312921140239449), (5, 0.1244261792092282), (8, 0.20422689029162433), (9, 0.11913972429559103)]"
390,"('membre', 'NOUN')",9,"[(5, 0.20581098040112195), (9, 0.348727808295527)]"
391,"('mener', 'VERB')",5,"[(1, 0.27457705865646637), (5, 0.5867108669687001)]"
392,"('mesure', 'NOUN')",4,"[(4, 0.7157475146661529), (9, 0.13383502283621973)]"
393,"('mesurer', 'VERB')",1,"[(1, 0.5959398011851287), (5, 0.24605125004574954)]"
394,"('mettre', 'VERB')",1,"[(1, 0.7481564991369355), (5, 0.17849384623495987)]"
396,"('milliard', 'NOUN')",10,"[(5, 0.1013080999278082), (10, 0.39745483204432025)]"
397,"('million', 'NOUN')",10,"[(5, 0.12261720770607812), (9, 0.12514628245848036), (10, 0.315375254660057)]"
398,"('ministre', 'NOUN')",9,"[(4, 0.10064841439290712), (9, 0.6485143658911542)]"
399,"('ministère', 'NOUN')",9,"[(4, 0.10352933276522155), (9, 0.7894602919710935)]"
400,"('minute', 'NOUN')",10,"[(4, 0.10400975807153218), (5, 0.10407311604918779), (10, 0.25099474832131446)]"
401,"('mise', 'NOUN')",4,"[(4, 0.4184576471650512), (5, 0.14309733769126845), (9, 0.15056886219048524)]"
407,"('mois', 'NOUN')",10,"[(9, 0.18714319547355998), (10, 0.3039631498908914)]"
409,"('monde', 'NOUN')",9,"[(4, 0.11664402866670877), (9, 0.735767409614627)]"
410,"('monsieur', 'NOUN')",11,"[(1, 0.11054219225030953), (5, 0.10723955688706328), (9, 0.12000256998503762), (11, 0.1998633632193234)]"
412,"('montrer', 'VERB')",1,"[(1, 0.7452814231251745), (5, 0.12093105331262616)]"
413,"('mort', 'NOUN')",4,"[(4, 0.4355073610776318), (8, 0.12073546810270123), (9, 0.16540743084410464)]"
415,"('mâchoire', 'NOUN')",4,"[(4, 0.4999932387393987), (9, 0.15943392445626622)]"
416,"('médecin', 'NOUN')",9,"[(4, 0.18844915883723673), (9, 0.3917116158534965)]"
421,"('ne', 'ADV')",2,"[(0, 0.21297164149862724), (2, 0.3904378073584586)]"
422,"('ni', 'CCONJ')",12,"[(0, 0.11483874465530632), (2, 0.1101271377675161), (12, 0.3027389302158373)]"
425,"('nombre', 'NOUN')",9,"[(4, 0.1142587448896967), (9, 0.7480441235736044)]"
427,"('non', 'ADV')",0,"[(0, 0.3525604478724863), (2, 0.1192856970805307)]"
430,"('note', 'NOUN')",4,"[(4, 0.6378776725498013), (9, 0.12062420801757234)]"
431,"('notice', 'NOUN')",4,"[(4, 0.5166211635115872), (9, 0.13207072337811354)]"
434,"('nécessaire', 'ADJ')",1,"[(1, 0.4345854134589142), (5, 0.31178768393927775)]"
435,"('objectif', 'NOUN')",9,"[(4, 0.12210322834783242), (9, 0.6533678084233129)]"
436,"('objet', 'NOUN')",9,"[(4, 0.18798792725337954), (9, 0.48898607588288523)]"
437,"('observer', 'VERB')",1,"[(1, 0.4382105597673524), (5, 0.32375355112715326)]"
438,"('obtenir', 'VERB')",1,"[(1, 0.5095146799672451), (5, 0.21017036913049503)]"
439,"('occasion', 'NOUN')",4,"[(4, 0.6935620832339708), (9, 0.17855702503733886)]"
443,"('office', 'NOUN')",9,"[(4, 0.14909695742300613), (9, 0.6421373845499159)]"
444,"('officier', 'NOUN')",9,"[(4, 0.15856435326510726), (9, 0.5375141043848393)]"
446,"('opinion', 'NOUN')",4,"[(4, 0.7962742700941051), (9, 0.10957942777324484)]"
449,"('organiser', 'VERB')",5,"[(1, 0.41832069362431873), (5, 0.45405066503817737)]"
450,"('os', 'NOUN')",9,"[(4, 0.10273156595827437), (9, 0.7996994462283602)]"
452,"('ostéoporose', 'NOUN')",4,"[(4, 0.7432839315028136), (9, 0.11501809862546772)]"
453,"('ou', 'CCONJ')",12,"[(2, 0.10173693347901495), (12, 0.32486508939478964)]"
454,"('ouvrir', 'VERB')",1,"[(1, 0.7940215624488952), (5, 0.12398024071984162)]"
455,"('où', 'PRON')",2,"[(0, 0.10465483267755073), (2, 0.5034183108476151)]"
456,"('page', 'NOUN')",5,"[(1, 0.13422051776076627), (4, 0.1742961399723648), (5, 0.2593267726191465), (9, 0.12312305782459068)]"
458,"('parlement', 'NOUN')",9,"[(4, 0.10344905249137289), (9, 0.7619415838607013)]"
459,"('parler', 'VERB')",1,"[(1, 0.7436955396754841), (5, 0.1379526860077125)]"
461,"('parquet', 'NOUN')",9,"[(4, 0.12962445914536608), (9, 0.6439099809139401)]"
464,"('participer', 'VERB')",1,"[(1, 0.6830153257599415), (5, 0.19466731697682735)]"
470,"('patient', 'NOUN')",9,"[(4, 0.168365276118897), (9, 0.48249271309642555)]"
471,"('payer', 'VERB')",1,"[(1, 0.6740520943293571), (5, 0.2244538501361834)]"
475,"('penser', 'VERB')",1,"[(1, 0.49052565941631543), (5, 0.14717260027774826)]"
477,"('permettre', 'VERB')",1,"[(1, 0.712332504378967), (5, 0.13696146928090064)]"
478,"('personne', 'NOUN')",4,"[(4, 0.3941028342715008), (5, 0.10931669062136919), (9, 0.16903675159252937)]"
482,"('photo', 'NOUN')",4,"[(4, 0.44197508659061974), (9, 0.2077853217780559)]"
484,"('placebo', 'NOUN')",9,"[(4, 0.12259510368965591), (8, 0.12752376168692464), (9, 0.4163803169694907)]"
485,"('plan', 'NOUN')",9,"[(4, 0.10254901222762725), (9, 0.7933217548660384)]"
487,"('plus', 'PRON')",5,"[(1, 0.1597069328623012), (4, 0.10702539752056663), (5, 0.1719502998800404), (9, 0.11435995734626132)]"
488,"('plusieurs', 'DET')",6,"[(6, 0.2690140864029122), (7, 0.1392284213826797)]"
490,"('police', 'NOUN')",4,"[(4, 0.571221709532738), (8, 0.12505552599127023)]"
494,"('population', 'NOUN')",4,"[(4, 0.7220603429940984), (9, 0.1132760779430753)]"
495,"('porter', 'VERB')",1,"[(1, 0.7292659636667113), (5, 0.20301039165137402)]"
497,"('position', 'NOUN')",4,"[(4, 0.7227569091378273), (9, 0.12866156976972531)]"
498,"('possible', 'ADJ')",1,"[(1, 0.32012625930422445), (5, 0.2258561687880604)]"
500,"('poudre', 'NOUN')",4,"[(1, 0.15274442247549858), (4, 0.2776944838967519), (5, 0.19806358708038804), (9, 0.10605838483448239)]"
504,"('pouvoir', 'VERB')",1,"[(1, 0.5529995063007758), (5, 0.15465064161397912)]"
509,"('prise', 'NOUN')",4,"[(4, 0.5508179008573036), (9, 0.16719329270069602)]"
511,"('problème', 'NOUN')",9,"[(4, 0.10470582111339119), (9, 0.7224749621228884)]"
512,"('prochain', 'ADJ')",6,"[(3, 0.2347867281629973), (6, 0.30216111833450754)]"
513,"('procureur', 'NOUN')",9,"[(4, 0.14546166717999523), (9, 0.581068090496953)]"
516,"('produire', 'VERB')",1,"[(1, 0.7197397573423177), (5, 0.12346534568106475)]"
520,"('proposer', 'VERB')",1,"[(1, 0.7078629827765018), (5, 0.22504065474287763)]"
521,"('proposition', 'NOUN')",4,"[(4, 0.770379767009309), (9, 0.11198771126913694)]"
