row_idx,lexunit
636,"('bronze', 'NOUN')"
647,"(""c'est-à-dire"", 'CCONJ')"
671,"('caractéristique', 'ADJ')"
684,"('cavalier', 'NOUN')"
685,"('ce', 'DET')"
686,"('ce', 'PRON')"
687,"('ceci', 'PRON')"
688,"('cela', 'PRON')"
690,"('celui', 'PRON')"
691,"('celui-ci', 'PRON')"
692,"('censé', 'ADJ')"
694,"('centaine', 'NOUN')"
702,"('certain', 'PRON')"
705,"('chacun', 'PRON')"
722,"('chaque', 'DET')"
723,"('charbon', 'NOUN')"
733,"('chef-lieu', 'NOUN')"
735,"('cher', 'ADJ')"
737,"('chercheur', 'NOUN')"
748,"('chrétien', 'NOUN')"
751,"('chômage', 'NOUN')"
768,"('clair', 'ADJ')"
776,"('client', 'NOUN')"
782,"('cm', 'NOUN')"
822,"('compagnon', 'NOUN')"
824,"('compatriote', 'NOUN')"
826,"('complexe', 'ADJ')"
846,"('concernant', 'ADP')"
859,"('confiance', 'NOUN')"
868,"('connu', 'ADJ')"
871,"('conscience', 'NOUN')"
873,"('conseiller', 'NOUN')"
901,"('contrairement', 'ADV')"
913,"('convivial', 'ADJ')"
928,"('courant', 'ADJ')"
930,"('coureur', 'NOUN')"
961,"('cyclisme', 'NOUN')"
974,"('dangereux', 'ADJ')"
986,"('depuis', 'ADP')"
995,"('destination', 'NOUN')"
1004,"('di', 'ADP')"
1013,"('différent', 'ADJ')"
1024,"('directeur', 'NOUN')"
1045,"('divers', 'ADJ')"
1050,"('dizaine', 'NOUN')"
1053,"('document', 'NOUN')"
1055,"('dollar', 'NOUN')"
1058,"('domicile', 'NOUN')"
1078,"('drogue', 'NOUN')"
1082,"('du', 'DET')"
1085,"('dur', 'ADJ')"
1125,"('délicieux', 'ADJ')"
1132,"('dénommer', 'VERB')"
1150,"('détail', 'NOUN')"
1159,"('efficace', 'ADJ')"
1169,"('employé', 'NOUN')"
1174,"('en', 'ADP')"
1175,"('en', 'PRON')"
1180,"('endémique', 'ADJ')"
1182,"('enfant', 'NOUN')"
1185,"('engagement', 'NOUN')"
1195,"('enseignant', 'NOUN')"
1198,"('ensemble', 'ADV')"
1207,"('entraînement', 'NOUN')"
1210,"('entre', 'ADP')"
1227,"('espagnol', 'NOUN')"
1234,"('essentiel', 'ADJ')"
1237,"('est', 'NOUN')"
1240,"('etc.', 'X')"
1244,"('eux', 'PRON')"
1245,"('eux-mêmes', 'PRON')"
1275,"('extraire', 'VERB')"
1286,"('face', 'NOUN')"
1287,"('facile', 'ADJ')"
1292,"('faible', 'ADJ')"
1293,"('faire', 'AUX')"
1301,"('faveur', 'NOUN')"
1302,"('favorable', 'ADJ')"
1308,"('fer', 'NOUN')"
1315,"('fiction', 'NOUN')"
1316,"('fidèle', 'ADJ')"
1318,"('fil', 'NOUN')"
1322,"('fils', 'NOUN')"
1327,"('finance', 'NOUN')"
1339,"('fonctionnaire', 'NOUN')"
1340,"('fonctionnement', 'NOUN')"
1343,"('fondateur', 'NOUN')"
1347,"('football', 'NOUN')"
1348,"('footballeur', 'NOUN')"
1364,"('franc', 'NOUN')"
1376,"('frère', 'NOUN')"
1399,"('gauche', 'NOUN')"
1402,"('gens', 'NOUN')"
1405,"('glace', 'NOUN')"
1415,"('grave', 'ADJ')"
1433,"('h', 'NOUN')"
1434,"('h', 'NUM')"
1435,"('ha', 'NOUN')"
1436,"('habitant', 'NOUN')"
1438,"('habitation', 'NOUN')"
1440,"('hasard', 'NOUN')"
1444,"('hectare', 'NOUN')"
1445,"('heure', 'NOUN')"
1447,"('hier', 'ADV')"
1451,"('hiver', 'NOUN')"
1452,"('hockey', 'NOUN')"
1455,"('honneur', 'NOUN')"
1456,"('hors', 'ADV')"
1465,"('héritier', 'NOUN')"
1469,"('hôte', 'NOUN')"
1486,"('important', 'ADJ')"
1504,"('infanterie', 'NOUN')"
1516,"('insecte', 'NOUN')"
1528,"('internet', 'NOUN')"
1549,"('investisseur', 'NOUN')"
1553,"('islam', 'NOUN')"
1554,"('isoler', 'VERB')"
1558,"('italien', 'NOUN')"
1576,"('journaliste', 'NOUN')"
1582,"('juif', 'NOUN')"
1590,"('kg', 'NOUN')"
1592,"('km', 'NOUN')"
1601,"('large', 'NOUN')"
1604,"('latin', 'NOUN')"
1606,"('le', 'DET')"
1611,"('lequel', 'PRON')"
1624,"('lieu', 'NOUN')"
1642,"('loin', 'ADV')"
1644,"('long', 'NOUN')"
1648,"('lors', 'ADV')"
1652,"('lui', 'PRON')"
1653,"('lui-même', 'PRON')"
1655,"('lundi', 'NOUN')"
1659,"('là', 'ADV')"
1662,"('léger', 'ADJ')"
1666,"('madame', 'NOUN')"
1669,"('magnifique', 'ADJ')"
1690,"('manque', 'NOUN')"
1696,"('mari', 'NOUN')"
1712,"('matin', 'NOUN')"
1719,"('membre', 'NOUN')"
1727,"('merci', 'INTJ')"
1728,"('mercredi', 'NOUN')"
1738,"('militant', 'NOUN')"
1739,"('milliard', 'NOUN')"
1740,"('millier', 'NOUN')"
1741,"('million', 'NOUN')"
1745,"('minute', 'NOUN')"
1749,"('mm', 'NOUN')"
1757,"('moi', 'PRON')"
1760,"('moins', 'PRON')"
1768,"('monsieur', 'NOUN')"
1775,"('morceau', 'NOUN')"
1776,"('mort', 'ADJ')"
1786,"('multiple', 'ADJ')"
1797,"('mètre', 'NOUN')"
1801,"('médecine', 'NOUN')"
1802,"('média', 'NOUN')"
1807,"('ménage', 'NOUN')"
1809,"('métal', 'NOUN')"
1812,"('métrage', 'NOUN')"
1826,"('naître', 'VERB')"
1834,"('noir', 'NOUN')"
1851,"('nous', 'PRON')"
1858,"('nul', 'ADJ')"
1861,"('n°', 'NOUN')"
1874,"('observation', 'NOUN')"
1878,"('occidental', 'ADJ')"
1883,"('office', 'NOUN')"
1891,"('on', 'PRON')"
1892,"('oncle', 'NOUN')"
1902,"('or', 'NOUN')"
1903,"('orchestre', 'NOUN')"
1917,"('otage', 'NOUN')"
1920,"('ouest', 'NOUN')"
1922,"('outre', 'ADP')"
1923,"('ouvert', 'ADJ')"
1926,"('ouvrier', 'NOUN')"
1937,"('parallèle', 'NOUN')"
1942,"('parent', 'NOUN')"
1943,"('parfait', 'ADJ')"
1951,"('parmi', 'ADP')"
1967,"('partisan', 'NOUN')"
1972,"('passe', 'NOUN')"
1975,"('patient', 'NOUN')"
1978,"('pauvre', 'ADJ')"
1997,"('personne', 'PRON')"
2005,"('peu', 'PRON')"
2017,"('physique', 'NOUN')"
2033,"('plaisir', 'NOUN')"
2044,"('plus', 'PRON')"
2046,"('plusieurs', 'PRON')"
2054,"('policier', 'NOUN')"
2086,"('poème', 'NOUN')"
2096,"('presse', 'NOUN')"
2109,"('prison', 'NOUN')"
2115,"('probable', 'ADJ')"
2120,"('proche', 'ADJ')"
2133,"('professionnel', 'NOUN')"
2136,"('profond', 'ADJ')"
2148,"('propos', 'NOUN')"
2164,"('près', 'ADV')"
2165,"('près', 'PRON')"
2166,"('précieux', 'ADJ')"
2182,"('présidente', 'NOUN')"
2202,"('pèlerin', 'NOUN')"
2203,"('père', 'NOUN')"
2205,"('pétrole', 'NOUN')"
2220,"('quel', 'ADJ')"
2221,"('quel', 'DET')"
2222,"(""quelqu'un"", 'PRON')"
2228,"('quoi', 'PRON')"
2236,"('raisonnable', 'ADJ')"
2239,"('rapide', 'ADJ')"
2245,"('rare', 'ADJ')"
2260,"('recours', 'NOUN')"
2279,"('remarquable', 'ADJ')"
2288,"('rendez-vous', 'NOUN')"
2309,"('respectivement', 'ADV')"
2328,"('revanche', 'NOUN')"
2333,"('riche', 'ADJ')"
2335,"('rien', 'PRON')"
2337,"('rival', 'NOUN')"
2344,"('romain', 'NOUN')"
2354,"('rugby', 'NOUN')"
2370,"('récent', 'ADJ')"
2384,"('réfugié', 'NOUN')"
2385,"('référence', 'NOUN')"
2418,"('rêve', 'NOUN')"
2421,"('saint', 'NOUN')"
2424,"('salarié', 'NOUN')"
2433,"('sauf', 'ADP')"
2436,"('sauvetage', 'NOUN')"
2441,"('scientifique', 'NOUN')"
2444,"('sculpteur', 'NOUN')"
2448,"('scénariste', 'NOUN')"
2453,"('seconde', 'NOUN')"
2454,"('secours', 'NOUN')"
2456,"('secrétaire', 'NOUN')"
2464,"('semblable', 'ADJ')"
2468,"('sensible', 'ADJ')"
2473,"('serbe', 'NOUN')"
2482,"('sien', 'ADJ')"
2488,"('similaire', 'ADJ')"
2497,"('siècle', 'NOUN')"
2502,"('soi', 'PRON')"
2503,"('soin', 'NOUN')"
2504,"('soir', 'NOUN')"
2510,"('soldat', 'NOUN')"
2517,"('son', 'DET')"
2546,"('spécialiste', 'NOUN')"
2561,"('successeur', 'NOUN')"
2569,"('suffrage', 'NOUN')"
2574,"('suivant', 'ADP')"
2605,"('sécurité', 'NOUN')"
2612,"('sérieux', 'ADJ')"
2620,"('tard', 'ADV')"
2621,"('tarif', 'NOUN')"
2626,"('tel', 'ADJ')"
2627,"('tel', 'DET')"
2631,"('tendance', 'NOUN')"
2634,"('tennis', 'NOUN')"
2653,"('tiers', 'NOUN')"
2657,"('toi', 'PRON')"
2660,"('tonne', 'NOUN')"
2675,"('tout', 'ADJ')"
2677,"('tout', 'DET')"
2678,"('tout', 'PRON')"
2688,"('trait', 'NOUN')"
2706,"('trimestre', 'NOUN')"
2719,"('typique', 'ADJ')"
2726,"('témoin', 'NOUN')"
2728,"('tôt', 'ADV')"
2730,"('un', 'DET')"
2731,"('un', 'NUM')"
2732,"('un', 'PRON')"
2743,"('urgence', 'NOUN')"
2750,"('vacance', 'NOUN')"
2753,"('vainqueur', 'NOUN')"
2758,"('variable', 'ADJ')"
2779,"('vidéo', 'NOUN')"
2787,"('vingtaine', 'NOUN')"
2789,"('violent', 'ADJ')"
2790,"('vis-à-vis', 'ADV')"
2801,"('vivement', 'ADV')"
2808,"('voisin', 'NOUN')"
2818,"('vous', 'PRON')"
2820,"('voyageur', 'NOUN')"
2831,"('y', 'PRON')"
2833,"('°', 'NOUN')"
2834,"('Écosse', 'PROPN')"
2836,"('Égypte', 'PROPN')"
2837,"('État', 'NOUN')"
2838,"('États-Unis', 'PROPN')"
2843,"('ça', 'PRON')"
2845,"('échange', 'NOUN')"
2859,"('écrivain', 'NOUN')"
2868,"('égalité', 'NOUN')"
2874,"('électricité', 'NOUN')"
2894,"('épouse', 'NOUN')"
2897,"('équipage', 'NOUN')"
2909,"('étrange', 'ADJ')"
2913,"('étudiant', 'NOUN')"
2915,"('été', 'NOUN')"
2919,"('évidence', 'NOUN')"
2926,"('évêque', 'NOUN')"
2927,"('être', 'AUX')"
2931,"('œuf', 'NOUN')"
2934,"('€', 'NOUN')"
