0
"('$', 'NOUN')"
"('Nantes', 'PROPN')"
"('Napoléon', 'PROPN')"
"('Nice', 'PROPN')"
"('Norvège', 'PROPN')"
"('Notre-Dame', 'PROPN')"
"('Noël', 'PROPN')"
"('ONU', 'PROPN')"
"('Occident', 'PROPN')"
"('Orléans', 'PROPN')"
"('PS', 'PROPN')"
"('Paris', 'PROPN')"
"('Pays-Bas', 'PROPN')"
"('Pokémon', 'PROPN')"
"('Portugal', 'PROPN')"
"('Québec', 'PROPN')"
"('Rabat', 'PROPN')"
"('Renaissance', 'PROPN')"
"('Rennes', 'PROPN')"
"('Roumanie', 'PROPN')"
"('Royal', 'PROPN')"
"('Royaume-Uni', 'PROPN')"
"('Russie', 'PROPN')"
"('Sahara', 'PROPN')"
"('Serbie', 'PROPN')"
"('Strasbourg', 'PROPN')"
"('Suisse', 'PROPN')"
"('Suède', 'PROPN')"
"('Texas', 'PROPN')"
"('Toulouse', 'PROPN')"
"('Tunis', 'PROPN')"
"('Tunisie', 'PROPN')"
"('Turquie', 'PROPN')"
"('UE', 'PROPN')"
"('UEFA', 'PROPN')"
"('V', 'NUM')"
"('VI', 'NUM')"
"('Vancouver', 'PROPN')"
"('Venezuela', 'PROPN')"
"('Washington', 'PROPN')"
"('Windows', 'PROPN')"
"('X', 'PROPN')"
"('XIIIe', 'ADJ')"
"('XIV', 'NUM')"
"('XIXe', 'ADJ')"
"('XIe', 'ADJ')"
"('XV', 'NUM')"
"('XVIIIe', 'ADJ')"
"('XVIIe', 'ADJ')"
"('XVIe', 'ADJ')"
"('XVe', 'ADJ')"
"('XXe', 'ADJ')"
"('abandon', 'NOUN')"
"('abbaye', 'NOUN')"
"('abbé', 'NOUN')"
"('abordable', 'ADJ')"
"('abri', 'NOUN')"
"('absence', 'NOUN')"
"('académie', 'NOUN')"
"('accueil', 'NOUN')"
"('accusation', 'NOUN')"
"('accès', 'NOUN')"
"('achat', 'NOUN')"
"('acide', 'NOUN')"
"('acteur', 'NOUN')"
"('actif', 'ADJ')"
"('actrice', 'NOUN')"
"('actualité', 'NOUN')"
"('adaptation', 'NOUN')"
"('administrateur', 'NOUN')"
"('adulte', 'NOUN')"
"('adversaire', 'NOUN')"
"('affluent', 'NOUN')"
"('affrontement', 'NOUN')"
"('afin', 'ADV')"
"('agriculture', 'NOUN')"
"('agréable', 'ADJ')"
"('aide', 'NOUN')"
"('ailleurs', 'ADV')"
"('alcool', 'NOUN')"
"('alentours', 'NOUN')"
"('altitude', 'NOUN')"
"('ambiance', 'NOUN')"
"('ambition', 'NOUN')"
"('ami', 'NOUN')"
"('amie', 'NOUN')"
"('amphibien', 'NOUN')"
"('amélioration', 'NOUN')"
"('américain', 'NOUN')"
"('an', 'NOUN')"
"('ancêtre', 'NOUN')"
"('anglais', 'NOUN')"
"('animation', 'NOUN')"
"('année', 'NOUN')"
"('août', 'NOUN')"
"('apparence', 'NOUN')"
"('apparition', 'NOUN')"
"('appel', 'NOUN')"
"('apprentissage', 'NOUN')"
"('approvisionnement', 'NOUN')"
"('appui', 'NOUN')"
"('après-midi', 'NOUN')"
"('arabe', 'NOUN')"
"('archive', 'NOUN')"
"('argent', 'NOUN')"
"('arme', 'NOUN')"
"('armer', 'VERB')"
"('arrivée', 'NOUN')"
"('arrière', 'NOUN')"
"('arrondissement', 'NOUN')"
"('arrêté', 'NOUN')"
"('art', 'NOUN')"
"('artillerie', 'NOUN')"
"('assemblée', 'NOUN')"
"('assez', 'ADV')"
"('assistance', 'NOUN')"
"('attente', 'NOUN')"
"('attention', 'NOUN')"
"('attribut', 'NOUN')"
"('au-delà', 'ADV')"
"('au-dessus', 'ADV')"
"('aucun', 'DET')"
"('aucun', 'PRON')"
"('augmentation', 'NOUN')"
"('auprès', 'ADV')"
"('autant', 'PRON')"
"('automne', 'NOUN')"
"('autorisation', 'NOUN')"
"('autorité', 'NOUN')"
"('autoroute', 'NOUN')"
"('autour', 'ADV')"
"('autre', 'PRON')"
"('aval', 'NOUN')"
"('avance', 'NOUN')"
"('avant', 'ADV')"
"('avant', 'NOUN')"
"('avantage', 'NOUN')"
"('avenir', 'NOUN')"
"('avoir', 'AUX')"
"('avril', 'NOUN')"
"('banlieue', 'NOUN')"
"('bas', 'ADJ')"
"('basse', 'NOUN')"
"('batterie', 'NOUN')"
"('beaucoup', 'PRON')"
"('besoin', 'NOUN')"
"('blessure', 'NOUN')"
"('bois', 'NOUN')"
"('bonheur', 'NOUN')"
"('bouddhisme', 'NOUN')"
"('bourg', 'NOUN')"
"('bout', 'NOUN')"
"('bref', 'ADJ')"
"('bref', 'INTJ')"
"('britannique', 'NOUN')"
"('bronze', 'NOUN')"
"('bruit', 'NOUN')"
"('bus', 'NOUN')"
"(""c'est-à-dire"", 'CCONJ')"
"('cabaret', 'NOUN')"
"('capable', 'ADJ')"
"('car', 'CCONJ')"
"('caractère', 'NOUN')"
"('caractéristique', 'ADJ')"
"('caractéristique', 'NOUN')"
"('carrière', 'NOUN')"
"('catalogue', 'NOUN')"
"('cathédrale', 'NOUN')"
"('cavalier', 'NOUN')"
"('ce', 'DET')"
"('ce', 'PRON')"
"('ceci', 'PRON')"
"('cela', 'PRON')"
"('celui', 'PRON')"
"('celui-ci', 'PRON')"
"('censé', 'ADJ')"
"('cent', 'NUM')"
"('centaine', 'NOUN')"
"('certain', 'DET')"
"('certain', 'PRON')"
"('chacun', 'PRON')"
"('chaleureux', 'ADJ')"
"('chance', 'NOUN')"
"('chaque', 'DET')"
"('charbon', 'NOUN')"
"('chef-lieu', 'NOUN')"
"('cher', 'ADJ')"
"('chercheur', 'NOUN')"
"('chose', 'NOUN')"
"('chrétien', 'NOUN')"
"('chômage', 'NOUN')"
"('cinquième', 'ADJ')"
"('citoyen', 'NOUN')"
"('clair', 'ADJ')"
"('client', 'NOUN')"
"('clientèle', 'NOUN')"
"('clé', 'NOUN')"
"('cm', 'NOUN')"
"('coalition', 'NOUN')"
"('col', 'NOUN')"
"('commande', 'NOUN')"
"('comme', 'CCONJ')"
"('comme', 'SCONJ')"
"('communication', 'NOUN')"
"('communiqué', 'NOUN')"
"('compagnon', 'NOUN')"
"('compatriote', 'NOUN')"
"('complexe', 'ADJ')"
"('compositeur', 'NOUN')"
"('compte', 'NOUN')"
"('compétence', 'NOUN')"
"('compétent', 'ADJ')"
"('comte', 'NOUN')"
"('condition', 'NOUN')"
"('confiance', 'NOUN')"
"('connaissance', 'NOUN')"
"('connu', 'ADJ')"
"('conscience', 'NOUN')"
"('conseiller', 'NOUN')"
"('consommateur', 'NOUN')"
"('contexte', 'NOUN')"
"('continent', 'NOUN')"
"('contrairement', 'ADV')"
"('contribution', 'NOUN')"
"('convivial', 'ADJ')"
"('correct', 'ADJ')"
"('cou', 'NOUN')"
"('courant', 'ADJ')"
"('coureur', 'NOUN')"
"('coûteux', 'ADJ')"
"('critique', 'NOUN')"
"('critère', 'NOUN')"
"('cyclisme', 'NOUN')"
"('cycliste', 'ADJ')"
"('célèbre', 'ADJ')"
"('dangereux', 'ADJ')"
"('demi-finale', 'NOUN')"
"('dernier', 'ADJ')"
"('destination', 'NOUN')"
"('devise', 'NOUN')"
"('di', 'ADP')"
"('difficile', 'ADJ')"
"('difficulté', 'NOUN')"
"('différent', 'ADJ')"
"('différent', 'DET')"
"('dimanche', 'NOUN')"
"('diocèse', 'NOUN')"
"('directeur', 'NOUN')"
"('dirigeant', 'NOUN')"
"('divers', 'ADJ')"
"('divers', 'DET')"
"('dix', 'NUM')"
"('dizaine', 'NOUN')"
"('docteur', 'NOUN')"
"('doctorat', 'NOUN')"
"('document', 'NOUN')"
"('dollar', 'NOUN')"
"('domicile', 'NOUN')"
"('domination', 'NOUN')"
"('don', 'NOUN')"
"('donc', 'CCONJ')"
"('donnée', 'NOUN')"
"('dont', 'PRON')"
"('double', 'ADJ')"
"('doute', 'NOUN')"
"('douze', 'NUM')"
"('drogue', 'NOUN')"
"('du', 'DET')"
"('dur', 'ADJ')"
"('décembre', 'NOUN')"
"('décéder', 'VERB')"
"('délicieux', 'ADJ')"
"('démocratie', 'NOUN')"
"('dénommer', 'VERB')"
"('département', 'NOUN')"
"('désir', 'NOUN')"
"('détail', 'NOUN')"
"('efficace', 'ADJ')"
"('efficacité', 'NOUN')"
"('empereur', 'NOUN')"
"('empire', 'NOUN')"
"('employé', 'NOUN')"
"('en', 'PRON')"
"('endémique', 'ADJ')"
"('enfance', 'NOUN')"
"('enfant', 'NOUN')"
"('engagement', 'NOUN')"
"('ennemi', 'NOUN')"
"('enseignant', 'NOUN')"
"('entraînement', 'NOUN')"
"('entraîneur', 'NOUN')"
"('environ', 'ADV')"
"('esclave', 'NOUN')"
"('espagnol', 'NOUN')"
"('espèce', 'NOUN')"
"('essai', 'NOUN')"
"('essentiel', 'ADJ')"
"('essentiel', 'NOUN')"
"('est', 'NOUN')"
"('et', 'CCONJ')"
"('etc.', 'X')"
"('euro', 'NOUN')"
"('eux', 'PRON')"
"('eux-mêmes', 'PRON')"
"('excellent', 'ADJ')"
"('exception', 'NOUN')"
"('exemplaire', 'NOUN')"
"('expert', 'NOUN')"
"('exploration', 'NOUN')"
"('exportation', 'NOUN')"
"('extraire', 'VERB')"
"('extrémité', 'NOUN')"
"('extrême', 'ADJ')"
"('extrêmement', 'ADV')"
"('extérieur', 'NOUN')"
"('exécution', 'NOUN')"
"('fabrication', 'NOUN')"
"('face', 'NOUN')"
"('facile', 'ADJ')"
"('faible', 'ADJ')"
"('faire', 'AUX')"
"('fait', 'NOUN')"
"('falloir', 'VERB')"
"('faveur', 'NOUN')"
"('favorable', 'ADJ')"
"('façon', 'NOUN')"
"('fiction', 'NOUN')"
"('fidèle', 'ADJ')"
"('fil', 'NOUN')"
"('filiale', 'NOUN')"
"('fils', 'NOUN')"
"('fin', 'NOUN')"
"('finance', 'NOUN')"
"('fleur', 'NOUN')"
"('flux', 'NOUN')"
"('fois', 'NOUN')"
"('fonctionnaire', 'NOUN')"
"('fonctionnement', 'NOUN')"
"('fondateur', 'NOUN')"
"('footballeur', 'NOUN')"
"('fort', 'ADJ')"
"('fort', 'NOUN')"
"('frais', 'ADJ')"
"('franc', 'NOUN')"
"('franchise', 'NOUN')"
"('froid', 'ADJ')"
"('frère', 'NOUN')"
"('février', 'NOUN')"
"('gauche', 'NOUN')"
"('gens', 'NOUN')"
"('glace', 'NOUN')"
"('grave', 'ADJ')"
"('gravure', 'NOUN')"
"('guitare', 'NOUN')"
"('h', 'NOUN')"
"('h', 'NUM')"
"('ha', 'NOUN')"
"('habitant', 'NOUN')"
"('habitat', 'NOUN')"
"('habitation', 'NOUN')"
"('hasard', 'NOUN')"
"('hectare', 'NOUN')"
"('heure', 'NOUN')"
"('heureux', 'ADJ')"
"('hiver', 'NOUN')"
"('hockey', 'NOUN')"
"('hommage', 'NOUN')"
"('honneur', 'NOUN')"
"('hors', 'ADV')"
"('humanité', 'NOUN')"
"('hypothèse', 'NOUN')"
"('héritier', 'NOUN')"
"('héros', 'NOUN')"
"('hésiter', 'VERB')"
"('hôte', 'NOUN')"
"('important', 'ADJ')"
"('inconnu', 'ADJ')"
"('indice', 'NOUN')"
"('individu', 'NOUN')"
"('indépendance', 'NOUN')"
"('infanterie', 'NOUN')"
"('infrastructure', 'NOUN')"
"('inférieur', 'ADJ')"
"('inscription', 'NOUN')"
"('insecte', 'NOUN')"
"('instance', 'NOUN')"
"('institut', 'NOUN')"
"('intention', 'NOUN')"
"('internet', 'NOUN')"
"('interprétation', 'NOUN')"
"('interview', 'NOUN')"
"('intituler', 'VERB')"
"('introduction', 'NOUN')"
"('intéressant', 'ADJ')"
"('intérieur', 'NOUN')"
"('invasion', 'NOUN')"
"('investissement', 'NOUN')"
"('investisseur', 'NOUN')"
"('islam', 'NOUN')"
"('isoler', 'VERB')"
"('issue', 'NOUN')"
"('italien', 'NOUN')"
"('janvier', 'NOUN')"
"('jeudi', 'NOUN')"
"('jeune', 'NOUN')"
"('jeunesse', 'NOUN')"
"('journaliste', 'NOUN')"
"('juif', 'NOUN')"
"('juillet', 'NOUN')"
"('juin', 'NOUN')"
"('jusque', 'ADP')"
"('juste', 'ADV')"
"('kg', 'NOUN')"
"('kilomètre', 'NOUN')"
"('km', 'NOUN')"
"('large', 'NOUN')"
"('latin', 'NOUN')"
"('le', 'DET')"
"('lendemain', 'NOUN')"
"('lequel', 'PRON')"
"('lien', 'NOUN')"
"('lieu', 'NOUN')"
"('lit', 'NOUN')"
"('localité', 'NOUN')"
"('loin', 'ADV')"
"('long', 'NOUN')"
"('lors', 'ADV')"
"('lorsque', 'SCONJ')"
"('lourd', 'ADJ')"
"('lui', 'PRON')"
"('lui-même', 'PRON')"
"('lundi', 'NOUN')"
"('léger', 'ADJ')"
"('légèrement', 'ADV')"
"('madame', 'NOUN')"
"('magazine', 'NOUN')"
"('magnifique', 'ADJ')"
"('mai', 'NOUN')"
"('maillot', 'NOUN')"
"('mais', 'CCONJ')"
"('majorité', 'NOUN')"
"('manque', 'NOUN')"
"('mardi', 'NOUN')"
"('mari', 'NOUN')"
"('mars', 'NOUN')"
"('maréchal', 'NOUN')"
"('matin', 'NOUN')"
"('membre', 'NOUN')"
"('mention', 'NOUN')"
"('merci', 'INTJ')"
"('mercredi', 'NOUN')"
"('militaire', 'NOUN')"
"('militant', 'NOUN')"
"('milliard', 'NOUN')"
"('millier', 'NOUN')"
"('million', 'NOUN')"
"('mine', 'NOUN')"
"('minute', 'NOUN')"
"('mise', 'NOUN')"
"('mm', 'NOUN')"
"('modification', 'NOUN')"
"('moi', 'PRON')"
"('moine', 'NOUN')"
"('moins', 'PRON')"
"('monde', 'NOUN')"
"('monsieur', 'NOUN')"
"('mont', 'NOUN')"
"('montagne', 'NOUN')"
"('morceau', 'NOUN')"
"('mort', 'ADJ')"
"('moyen', 'ADJ')"
"('municipalité', 'NOUN')"
"('musicien', 'NOUN')"
"('mère', 'NOUN')"
"('mètre', 'NOUN')"
"('médaille', 'NOUN')"
"('médecine', 'NOUN')"
"('média', 'NOUN')"
"('mélange', 'NOUN')"
"('ménage', 'NOUN')"
"('métal', 'NOUN')"
"('métrage', 'NOUN')"
"('métro', 'NOUN')"
"('naissance', 'NOUN')"
"('nation', 'NOUN')"
"('naître', 'VERB')"
"('net', 'ADJ')"
"('ni', 'CCONJ')"
"('noblesse', 'NOUN')"
"('noir', 'NOUN')"
"('non', 'ADV')"
"('nord', 'NOUN')"
"('nord-est', 'NOUN')"
"('nord-ouest', 'NOUN')"
"('notion', 'NOUN')"
"('nous', 'PRON')"
"('novembre', 'NOUN')"
"('nuage', 'NOUN')"
"('nul', 'ADJ')"
"('numéro', 'NOUN')"
"('n°', 'NOUN')"
"('négociation', 'NOUN')"
"('objet', 'NOUN')"
"('observation', 'NOUN')"
"('occasion', 'NOUN')"
"('octobre', 'NOUN')"
"('océan', 'NOUN')"
"('office', 'NOUN')"
"('on', 'PRON')"
"('oncle', 'NOUN')"
"('opportunité', 'NOUN')"
"('opérateur', 'NOUN')"
"('or', 'CCONJ')"
"('orchestre', 'NOUN')"
"('organisme', 'NOUN')"
"('originaire', 'ADJ')"
"('otage', 'NOUN')"
"('ou', 'CCONJ')"
"('ouest', 'NOUN')"
"('outil', 'NOUN')"
"('ouvert', 'ADJ')"
"('ouvrier', 'NOUN')"
"('où', 'PRON')"
"('page', 'NOUN')"
"('papillon', 'NOUN')"
"('parallèle', 'NOUN')"
"('parent', 'NOUN')"
"('parfait', 'ADJ')"
"('parole', 'NOUN')"
"('particularité', 'NOUN')"
"('partisan', 'NOUN')"
"('passe', 'NOUN')"
"('passé', 'NOUN')"
"('patient', 'NOUN')"
"('pauvre', 'ADJ')"
"('performance', 'NOUN')"
"('personne', 'NOUN')"
"('personne', 'PRON')"
"('peu', 'PRON')"
"('peur', 'NOUN')"
"('photographe', 'NOUN')"
"('physique', 'NOUN')"
"('piano', 'NOUN')"
"('pilier', 'NOUN')"
"('pizza', 'NOUN')"
"('plainte', 'NOUN')"
"('plaisir', 'NOUN')"
"('plante', 'NOUN')"
"('plat', 'NOUN')"
"('pluie', 'NOUN')"
"('plupart', 'NOUN')"
"('plus', 'ADV')"
"('plus', 'PRON')"
"('plusieurs', 'DET')"
"('plusieurs', 'PRON')"
"('policier', 'NOUN')"
"('porte-parole', 'NOUN')"
"('possession', 'NOUN')"
"('possibilité', 'NOUN')"
"('potentiel', 'NOUN')"
"('poème', 'NOUN')"
"('première', 'NOUN')"
"('presque', 'ADV')"
"('presse', 'NOUN')"
"('preuve', 'NOUN')"
"('princesse', 'NOUN')"
"('principal', 'ADJ')"
"('priorité', 'NOUN')"
"('prison', 'NOUN')"
"('prisonnier', 'NOUN')"
"('probable', 'ADJ')"
"('prochain', 'ADJ')"
"('proche', 'ADJ')"
"('professionnalisme', 'NOUN')"
"('professionnel', 'NOUN')"
"('profond', 'ADJ')"
"('progrès', 'NOUN')"
"('proportion', 'NOUN')"
"('propos', 'NOUN')"
"('proximité', 'NOUN')"
"('près', 'ADV')"
"('près', 'PRON')"
"('précieux', 'ADJ')"
"('précipitation', 'NOUN')"
"('présentation', 'NOUN')"
"('présidente', 'NOUN')"
"('prêt', 'ADJ')"
"('puis', 'CCONJ')"
"('puisque', 'SCONJ')"
"('puissant', 'ADJ')"
"('pur', 'ADJ')"
"('pèlerin', 'NOUN')"
"('père', 'NOUN')"
"('pétrole', 'NOUN')"
"('quand', 'SCONJ')"
"('quart', 'NOUN')"
"('quatrième', 'ADJ')"
"('que', 'ADV')"
"('que', 'PRON')"
"('que', 'SCONJ')"
"('quel', 'ADJ')"
"('quel', 'DET')"
"(""quelqu'un"", 'PRON')"
"('quelque', 'DET')"
"('quoi', 'PRON')"
"('raisonnable', 'ADJ')"
"('rare', 'ADJ')"
"('recensement', 'NOUN')"
"('recette', 'NOUN')"
"('recours', 'NOUN')"
"('reine', 'NOUN')"
"('relatif', 'ADJ')"
"('remarquable', 'ADJ')"
"('rendez-vous', 'NOUN')"
"('renseignement', 'NOUN')"
"('reprise', 'NOUN')"
"('responsable', 'ADJ')"
"('ressource', 'NOUN')"
"('reste', 'NOUN')"
"('retour', 'NOUN')"
"('revanche', 'NOUN')"
"('revenu', 'NOUN')"
"('riche', 'ADJ')"
"('rien', 'PRON')"
"('rival', 'NOUN')"
"('roche', 'NOUN')"
"('rock', 'NOUN')"
"('romain', 'NOUN')"
"('rugby', 'NOUN')"
"('ruine', 'NOUN')"
"('règle', 'NOUN')"
"('récent', 'ADJ')"
"('réduction', 'NOUN')"
"('réel', 'ADJ')"
"('réfugié', 'NOUN')"
"('référence', 'NOUN')"
"('rêve', 'NOUN')"
"('saint', 'NOUN')"
"('salarié', 'NOUN')"
"('sanction', 'NOUN')"
"('sans', 'ADP')"
"('santé', 'NOUN')"
"('satisfait', 'ADJ')"
"('science', 'NOUN')"
"('scientifique', 'NOUN')"
"('sculpteur', 'NOUN')"
"('scénariste', 'NOUN')"
"('seconde', 'NOUN')"
"('secours', 'NOUN')"
"('secrétaire', 'NOUN')"
"('seigneurie', 'NOUN')"
"('sein', 'NOUN')"
"('semaine', 'NOUN')"
"('semblable', 'ADJ')"
"('sensible', 'ADJ')"
"('septembre', 'NOUN')"
"('serbe', 'NOUN')"
"('si', 'SCONJ')"
"('sien', 'ADJ')"
"('similaire', 'ADJ')"
"('simple', 'ADJ')"
"('siècle', 'NOUN')"
"('soi', 'PRON')"
"('soin', 'NOUN')"
"('soir', 'NOUN')"
"('soit', 'ADV')"
"('soit', 'CCONJ')"
"('sol', 'NOUN')"
"('soldat', 'NOUN')"
"('soleil', 'NOUN')"
"('son', 'DET')"
"('sondage', 'NOUN')"
"('sorte', 'NOUN')"
"('spectateur', 'NOUN')"
"('spécialiser', 'VERB')"
"('spécialiste', 'NOUN')"
"('spécifique', 'ADJ')"
"('statistique', 'NOUN')"
"('successeur', 'NOUN')"
"('sud', 'NOUN')"
"('sud-est', 'NOUN')"
"('sud-ouest', 'NOUN')"
"('suffrage', 'NOUN')"
"('superbe', 'ADJ')"
"('superficie', 'NOUN')"
"('suppression', 'NOUN')"
"('survenir', 'VERB')"
"('sushi', 'NOUN')"
"('sympa', 'ADJ')"
"('sympathique', 'ADJ')"
"('sécurité', 'NOUN')"
"('séjour', 'NOUN')"
"('sérieux', 'ADJ')"
"('sûr', 'ADJ')"
"('sœur', 'NOUN')"
"('tard', 'ADV')"
"('tarif', 'NOUN')"
"('tel', 'ADJ')"
"('tel', 'DET')"
"('tendance', 'NOUN')"
"('tennis', 'NOUN')"
"('thèse', 'NOUN')"
"('tiers', 'NOUN')"
"('toi', 'PRON')"
"('toilette', 'NOUN')"
"('tonne', 'NOUN')"
"('top', 'NOUN')"
"('total', 'NOUN')"
"('totalité', 'NOUN')"
"('tournage', 'NOUN')"
"('tout', 'ADJ')"
"('tout', 'DET')"
"('tout', 'PRON')"
"('trace', 'NOUN')"
"('trait', 'NOUN')"
"('trimestre', 'NOUN')"
"('troupe', 'NOUN')"
"('très', 'ADV')"
"('typique', 'ADJ')"
"('témoin', 'NOUN')"
"('tôt', 'ADV')"
"('ultime', 'ADJ')"
"('un', 'DET')"
"('un', 'NUM')"
"('un', 'PRON')"
"('uni', 'ADJ')"
"('union', 'NOUN')"
"('université', 'NOUN')"
"('urgence', 'NOUN')"
"('utile', 'ADJ')"
"('utilisation', 'NOUN')"
"('vacance', 'NOUN')"
"('vague', 'NOUN')"
"('vainqueur', 'NOUN')"
"('variable', 'ADJ')"
"('varié', 'ADJ')"
"('vendredi', 'NOUN')"
"('vestige', 'NOUN')"
"('vice-président', 'NOUN')"
"('victime', 'NOUN')"
"('vidéo', 'NOUN')"
"('villa', 'NOUN')"
"('vingt', 'NUM')"
"('vingtaine', 'NOUN')"
"('violent', 'ADJ')"
"('vis-à-vis', 'ADV')"
"('voire', 'CCONJ')"
"('voisin', 'NOUN')"
"('voix', 'NOUN')"
"('vous', 'PRON')"
"('voyageur', 'NOUN')"
"('véritable', 'ADJ')"
"('web', 'NOUN')"
"('y', 'PRON')"
"('°', 'NOUN')"
"('Édouard', 'PROPN')"
"('Égypte', 'PROPN')"
"('État', 'NOUN')"
"('États-Unis', 'PROPN')"
"('âgé', 'ADJ')"
"('âme', 'NOUN')"
"('ça', 'PRON')"
"('ère', 'NOUN')"
"('échange', 'NOUN')"
"('économie', 'NOUN')"
"('économiste', 'NOUN')"
"('écoute', 'NOUN')"
"('écran', 'NOUN')"
"('écriture', 'NOUN')"
"('écrivain', 'NOUN')"
"('éducation', 'NOUN')"
"('égal', 'ADJ')"
"('égalité', 'NOUN')"
"('élection', 'NOUN')"
"('électricité', 'NOUN')"
"('élevage', 'NOUN')"
"('élevé', 'ADJ')"
"('élite', 'NOUN')"
"('émotion', 'NOUN')"
"('énorme', 'ADJ')"
"('épouse', 'NOUN')"
"('équipage', 'NOUN')"
"('équipement', 'NOUN')"
"('étang', 'NOUN')"
"('étrange', 'ADJ')"
"('étranger', 'NOUN')"
"('étudiant', 'NOUN')"
"('été', 'NOUN')"
"('évidence', 'NOUN')"
"('évêque', 'NOUN')"
"('être', 'AUX')"
"('île', 'NOUN')"
"('œil', 'NOUN')"
"('œuf', 'NOUN')"
"('€', 'NOUN')"
